Path analysis results at De Hoop 
 physiology-path-analysis-model-5.txt 

Inference for Bugs model at "physiology-path-analysis-model-5.txt", fit using jags,
 5 chains, each with 25000 iterations (first 5000 discarded), n.thin = 25
 n.sims = 4000 iterations saved
                     mu.vect sd.vect    2.5%    25%    50%    75%  97.5%  Rhat n.eff
beta.cond.humid        0.353   0.312  -0.264  0.146  0.356  0.555  0.952 1.002  2000
beta.cond.lfarea       0.284   0.231  -0.187  0.140  0.283  0.431  0.741 1.001  4000
beta.cond.lwr         -0.403   0.261  -0.904 -0.577 -0.408 -0.228  0.116 1.001  4000
beta.cond.sdi          0.317   0.152   0.017  0.217  0.317  0.415  0.617 1.001  4000
beta.cond.sla         -0.224   0.181  -0.576 -0.345 -0.225 -0.103  0.129 1.001  4000
beta.cond.spi          0.518   0.186   0.161  0.396  0.520  0.639  0.877 1.001  4000
beta.cond.temp        -0.909   0.232  -1.360 -1.059 -0.910 -0.761 -0.447 1.002  2400
beta.fluor.humid      -0.973   0.398  -1.731 -1.241 -0.978 -0.716 -0.164 1.001  3400
beta.fluor.lfarea     -0.220   0.344  -0.886 -0.450 -0.219  0.004  0.458 1.001  4000
beta.fluor.lwr         0.532   0.364  -0.140  0.291  0.518  0.765  1.296 1.001  4000
beta.fluor.sdi         0.518   0.232   0.050  0.368  0.515  0.663  0.969 1.002  1700
beta.fluor.sla        -0.147   0.257  -0.665 -0.312 -0.142  0.018  0.363 1.001  3800
beta.fluor.spi        -0.212   0.264  -0.739 -0.385 -0.210 -0.037  0.307 1.002  2500
beta.fluor.temp       -0.353   0.297  -0.941 -0.543 -0.356 -0.160  0.238 1.001  3700
beta.lftemp.humid     -0.804   0.378  -1.564 -1.056 -0.794 -0.552 -0.067 1.002  2600
beta.lftemp.lfarea    -0.048   0.244  -0.540 -0.202 -0.046  0.115  0.413 1.001  3600
beta.lftemp.lwr        0.390   0.288  -0.178  0.203  0.390  0.571  0.963 1.002  1900
