Path analysis results at De Hoop 

Inference for Bugs model at "physiology-path-analysis-with-wue.txt", fit using jags,
 5 chains, each with 25000 iterations (first 5000 discarded), n.thin = 25
 n.sims = 4000 iterations saved
                   mu.vect sd.vect   2.5%    25%    50%    75%   97.5%  Rhat n.eff
beta.cond.humid      0.431   0.284 -0.110  0.238  0.431  0.619   0.993 1.001  3400
beta.cond.lfarea     0.439   0.238 -0.031  0.281  0.431  0.598   0.921 1.001  3400
beta.cond.lwr       -0.489   0.252 -0.989 -0.657 -0.487 -0.320  -0.002 1.001  4000
beta.cond.sdi        0.286   0.151 -0.019  0.187  0.285  0.384   0.580 1.001  4000
beta.cond.sla       -0.145   0.175 -0.493 -0.260 -0.147 -0.032   0.194 1.002  2100
beta.cond.spi        0.567   0.183  0.207  0.453  0.565  0.683   0.943 1.001  4000
beta.cond.temp      -0.891   0.214 -1.307 -1.032 -0.896 -0.752  -0.463 1.001  3500
beta.fluor.humid    -1.052   0.387 -1.806 -1.313 -1.051 -0.796  -0.287 1.003  1400
beta.fluor.lfarea   -0.358   0.348 -1.068 -0.582 -0.355 -0.131   0.329 1.001  4000
beta.fluor.lwr       0.606   0.363 -0.089  0.375  0.597  0.835   1.351 1.001  4000
beta.fluor.sdi       0.532   0.227  0.083  0.379  0.530  0.682   0.988 1.001  4000
beta.fluor.sla      -0.219   0.258 -0.713 -0.390 -0.223 -0.049   0.306 1.001  3500
beta.fluor.spi      -0.250   0.260 -0.776 -0.417 -0.245 -0.079   0.259 1.001  3600
beta.fluor.temp     -0.385   0.290 -0.959 -0.577 -0.379 -0.191   0.175 1.002  1600
beta.lftemp.humid   -0.870   0.367 -1.618 -1.114 -0.868 -0.622  -0.140 1.004   890
beta.lftemp.lfarea  -0.148   0.252 -0.659 -0.314 -0.139  0.019   0.326 1.001  4000
beta.lftemp.lwr      0.442   0.283 -0.102  0.257  0.434  0.625   1.026 1.000  4000
beta.lftemp.sdi      0.144   0.158 -0.168  0.038  0.145  0.245   0.462 1.002  2200
beta.lftemp.sla      0.394   0.195  0.005  0.266  0.398  0.519   0.768 1.002  2300
beta.lftemp.spi     -0.621   0.201 -1.033 -0.750 -0.618 -0.489  -0.237 1.002  2000
beta.lftemp.temp     0.222   0.276 -0.353  0.049  0.233  0.401   0.739 1.003  1100
beta.photo.cond      0.465   0.322 -0.163  0.248  0.457  0.679   1.102 1.002  2100
beta.photo.fluor     0.283   0.139  0.000  0.196  0.286  0.370   0.556 1.002  2400
beta.photo.humid     0.152   0.222 -0.282  0.007  0.148  0.295   0.590 1.002  1500
beta.photo.lftemp   -0.105   0.241 -0.567 -0.266 -0.106  0.051   0.380 1.001  2800
beta.photo.temp     -0.362   0.293 -0.930 -0.559 -0.360 -0.165   0.203 1.002  2100
beta.photo.trans     0.139   0.313 -0.491 -0.066  0.140  0.344   0.751 1.002  2400
beta.photo.wue      -0.015   0.046 -0.104 -0.044 -0.015  0.014   0.075 1.001  2900
beta.trans.humid     0.046   0.276 -0.500 -0.134  0.046  0.230   0.597 1.003  1100
beta.trans.lfarea    0.312   0.243 -0.160  0.155  0.308  0.473   0.782 1.002  2300
beta.trans.lwr      -0.050   0.262 -0.576 -0.222 -0.044  0.124   0.443 1.001  4000
beta.trans.sdi       0.395   0.153  0.087  0.296  0.398  0.496   0.704 1.001  4000
beta.trans.sla       0.087   0.180 -0.271 -0.029  0.087  0.203   0.450 1.002  2400
beta.trans.spi       0.377   0.182  0.015  0.258  0.378  0.495   0.738 1.001  4000
beta.trans.temp     -0.128   0.208 -0.537 -0.268 -0.130  0.011   0.289 1.003  1100
beta.wue.humid       0.847   1.055 -1.260  0.151  0.860  1.564   2.843 1.001  2700
beta.wue.lfarea      0.265   1.150 -2.072 -0.503  0.304  1.079   2.377 1.001  3500
beta.wue.lwr        -1.610   0.976 -3.510 -2.244 -1.622 -0.971   0.385 1.002  1900
beta.wue.sdi         0.193   0.652 -1.051 -0.241  0.183  0.605   1.464 1.000  4000
beta.wue.sla        -0.274   0.764 -1.775 -0.780 -0.279  0.224   1.242 1.001  4000
beta.wue.spi         0.405   0.761 -1.170 -0.076  0.406  0.901   1.878 1.002  2600
beta.wue.temp        0.764   0.787 -0.779  0.256  0.750  1.273   2.322 1.001  4000
mu.lf[1]             0.450   0.187  0.086  0.325  0.448  0.572   0.818 1.001  4000
mu.lf[2]            -0.608   0.111 -0.825 -0.680 -0.608 -0.536  -0.390 1.001  3900
mu.lf[3]            -0.603   0.135 -0.872 -0.690 -0.603 -0.516  -0.336 1.000  4000
mu.lf[4]            -0.322   0.169 -0.656 -0.430 -0.324 -0.213   0.019 1.002  2100
mu.lf[5]             0.661   0.164  0.329  0.552  0.660  0.769   0.987 1.000  4000
mu.ph[1,1]           1.256   0.388  0.486  1.004  1.250  1.505   2.053 1.002  2600
mu.ph[2,1]           0.623   0.397 -0.158  0.357  0.624  0.870   1.408 1.001  4000
mu.ph[3,1]          -0.539   0.324 -1.175 -0.750 -0.544 -0.330   0.124 1.001  4000
mu.ph[4,1]          -0.997   0.319 -1.625 -1.197 -0.998 -0.792  -0.358 1.000  4000
mu.ph[5,1]          -0.412   0.370 -1.137 -0.657 -0.416 -0.173   0.330 1.002  1700
mu.ph[6,1]          -1.226   0.366 -1.942 -1.460 -1.221 -0.994  -0.514 1.002  1800
mu.ph[7,1]           0.808   0.273  0.231  0.639  0.823  0.990   1.314 1.002  1400
mu.ph[8,1]           0.606   0.291  0.012  0.421  0.623  0.805   1.150 1.003  1300
mu.ph[9,1]          -0.184   0.255 -0.681 -0.350 -0.194 -0.013   0.331 1.002  2100
mu.ph[10,1]         -0.205   0.285 -0.756 -0.393 -0.206 -0.022   0.362 1.002  2200
mu.ph[11,1]          1.293   0.385  0.522  1.046  1.287  1.548   2.043 1.001  4000
mu.ph[12,1]          1.468   0.423  0.598  1.202  1.478  1.758   2.247 1.001  2700
mu.ph[13,1]         -0.991   0.382 -1.715 -1.247 -0.998 -0.752  -0.187 1.002  1500
mu.ph[14,1]         -0.803   0.319 -1.409 -1.013 -0.817 -0.603  -0.144 1.002  1500
mu.ph[15,1]          0.147   0.360 -0.565 -0.079  0.138  0.374   0.897 1.001  2700
mu.ph[16,1]          0.327   0.345 -0.338  0.099  0.322  0.535   1.030 1.001  3000
mu.ph[17,1]         -0.634   0.362 -1.325 -0.864 -0.645 -0.408   0.102 1.001  4000
mu.ph[18,1]         -1.149   0.348 -1.827 -1.372 -1.145 -0.917  -0.468 1.000  4000
mu.ph[19,1]          0.988   0.404  0.159  0.733  0.996  1.260   1.737 1.001  4000
mu.ph[20,1]          1.188   0.375  0.402  0.952  1.199  1.440   1.908 1.001  4000
mu.ph[21,1]          0.181   0.377 -0.595 -0.062  0.187  0.440   0.891 1.001  4000
mu.ph[22,1]          0.935   0.352  0.225  0.712  0.940  1.167   1.618 1.001  4000
mu.ph[23,1]          0.610   0.351 -0.099  0.390  0.610  0.833   1.315 1.001  4000
mu.ph[24,1]          1.090   0.351  0.398  0.865  1.089  1.313   1.771 1.001  4000
mu.ph[25,1]          0.293   0.342 -0.411  0.074  0.305  0.515   0.948 1.002  2000
mu.ph[26,1]          0.716   0.342  0.001  0.504  0.734  0.938   1.368 1.002  1700
mu.ph[1,2]           1.583   0.528  0.532  1.232  1.593  1.924   2.647 1.001  4000
mu.ph[2,2]           0.216   0.568 -0.943 -0.143  0.228  0.587   1.325 1.000  4000
mu.ph[3,2]           0.687   0.446 -0.180  0.390  0.683  0.978   1.585 1.001  4000
mu.ph[4,2]           0.524   0.443 -0.379  0.236  0.527  0.815   1.402 1.001  4000
mu.ph[5,2]          -0.442   0.493 -1.381 -0.769 -0.448 -0.114   0.566 1.001  4000
mu.ph[6,2]          -0.967   0.507 -1.945 -1.304 -0.961 -0.630   0.041 1.002  2200
mu.ph[7,2]           1.404   0.361  0.659  1.172  1.422  1.646   2.077 1.002  1600
mu.ph[8,2]           1.197   0.368  0.409  0.960  1.205  1.435   1.904 1.002  1800
mu.ph[9,2]           0.426   0.359 -0.306  0.193  0.431  0.668   1.110 1.001  4000
mu.ph[10,2]          0.267   0.395 -0.566  0.013  0.278  0.537   1.016 1.001  4000
mu.ph[11,2]          2.066   0.542  0.989  1.713  2.075  2.410   3.142 1.001  4000
mu.ph[12,2]          0.884   0.574 -0.239  0.512  0.880  1.259   2.031 1.001  4000
mu.ph[13,2]          1.050   0.516  0.049  0.716  1.053  1.372   2.062 1.002  1600
mu.ph[14,2]          0.229   0.428 -0.621 -0.047  0.232  0.511   1.069 1.002  1800
mu.ph[15,2]         -0.531   0.510 -1.520 -0.871 -0.534 -0.192   0.501 1.001  2900
mu.ph[16,2]         -1.179   0.491 -2.121 -1.505 -1.188 -0.865  -0.176 1.001  4000
mu.ph[17,2]         -1.347   0.503 -2.326 -1.679 -1.359 -1.026  -0.335 1.001  4000
mu.ph[18,2]         -1.783   0.506 -2.774 -2.109 -1.795 -1.452  -0.760 1.001  4000
mu.ph[19,2]         -0.389   0.544 -1.459 -0.754 -0.396 -0.039   0.692 1.001  3600
mu.ph[20,2]         -1.284   0.511 -2.306 -1.608 -1.280 -0.965  -0.278 1.003  1300
mu.ph[21,2]          0.282   0.479 -0.703 -0.022  0.289  0.582   1.220 1.001  4000
mu.ph[22,2]          1.207   0.487  0.224  0.907  1.215  1.520   2.196 1.001  4000
mu.ph[23,2]         -0.933   0.495 -1.933 -1.258 -0.928 -0.599   0.039 1.001  4000
mu.ph[24,2]         -0.070   0.502 -1.055 -0.403 -0.068  0.260   0.920 1.001  2700
mu.ph[25,2]          0.088   0.462 -0.829 -0.219  0.087  0.380   1.013 1.001  3300
mu.ph[26,2]         -0.457   0.470 -1.385 -0.758 -0.464 -0.160   0.488 1.001  3700
mu.ph[1,3]           0.619   0.364 -0.101  0.387  0.621  0.851   1.341 1.001  4000
mu.ph[2,3]           0.382   0.392 -0.399  0.129  0.386  0.644   1.142 1.001  3200
mu.ph[3,3]           0.472   0.305 -0.146  0.277  0.478  0.675   1.059 1.001  4000
mu.ph[4,3]           0.645   0.296  0.040  0.455  0.651  0.839   1.206 1.001  4000
mu.ph[5,3]          -0.327   0.342 -1.003 -0.551 -0.329 -0.111   0.333 1.001  4000
mu.ph[6,3]          -0.355   0.344 -1.038 -0.575 -0.355 -0.133   0.332 1.001  3000
mu.ph[7,3]          -0.390   0.245 -0.872 -0.554 -0.388 -0.229   0.088 1.002  1700
mu.ph[8,3]          -0.001   0.256 -0.507 -0.172  0.002  0.172   0.499 1.001  3500
mu.ph[9,3]          -0.297   0.235 -0.758 -0.449 -0.301 -0.143   0.159 1.001  4000
mu.ph[10,3]         -0.755   0.260 -1.272 -0.927 -0.757 -0.580  -0.246 1.001  4000
mu.ph[11,3]         -0.320   0.369 -1.063 -0.557 -0.314 -0.082   0.404 1.001  2800
mu.ph[12,3]         -0.414   0.398 -1.189 -0.662 -0.414 -0.167   0.381 1.001  3500
mu.ph[13,3]          0.761   0.352  0.043  0.538  0.757  0.990   1.471 1.001  4000
mu.ph[14,3]         -0.279   0.283 -0.845 -0.467 -0.276 -0.092   0.259 1.001  4000
mu.ph[15,3]          0.016   0.347 -0.629 -0.219  0.009  0.237   0.735 1.002  1500
mu.ph[16,3]         -1.023   0.333 -1.651 -1.241 -1.028 -0.811  -0.351 1.002  2000
mu.ph[17,3]         -0.836   0.332 -1.484 -1.053 -0.840 -0.620  -0.173 1.002  2700
mu.ph[18,3]         -0.928   0.333 -1.603 -1.144 -0.919 -0.709  -0.289 1.001  2800
mu.ph[19,3]          1.045   0.371  0.328  0.807  1.042  1.283   1.775 1.001  3000
mu.ph[20,3]         -0.656   0.354 -1.360 -0.889 -0.657 -0.427   0.049 1.001  4000
mu.ph[21,3]          0.413   0.338 -0.241  0.192  0.407  0.630   1.088 1.002  1700
mu.ph[22,3]          0.250   0.330 -0.401  0.039  0.245  0.460   0.906 1.002  2400
mu.ph[23,3]         -0.479   0.342 -1.159 -0.705 -0.478 -0.260   0.188 1.001  4000
mu.ph[24,3]          0.509   0.337 -0.139  0.286  0.503  0.733   1.189 1.001  4000
mu.ph[25,3]         -0.812   0.333 -1.448 -1.032 -0.813 -0.600  -0.136 1.001  4000
mu.ph[26,3]         -1.488   0.325 -2.119 -1.701 -1.494 -1.291  -0.822 1.001  4000
mu.ph[1,4]          -0.506   0.369 -1.256 -0.729 -0.499 -0.259   0.198 1.001  4000
mu.ph[2,4]          -0.522   0.379 -1.283 -0.764 -0.516 -0.281   0.235 1.001  4000
mu.ph[3,4]           1.217   0.297  0.621  1.024  1.219  1.408   1.795 1.001  3700
mu.ph[4,4]           1.525   0.292  0.942  1.338  1.525  1.715   2.097 1.002  2200
mu.ph[5,4]           0.681   0.337  0.014  0.468  0.681  0.895   1.336 1.002  2600
mu.ph[6,4]           1.382   0.332  0.722  1.157  1.381  1.601   2.051 1.002  1700
mu.ph[7,4]          -0.255   0.247 -0.733 -0.417 -0.261 -0.104   0.259 1.001  4000
mu.ph[8,4]           0.160   0.251 -0.325 -0.009  0.155  0.319   0.677 1.001  4000
mu.ph[9,4]           0.590   0.234  0.118  0.437  0.594  0.744   1.046 1.001  4000
