Path analysis results at Kleinmond 
 physiology-path-analysis-model-1.txt 

Inference for Bugs model at "physiology-path-analysis-model-1.txt", fit using jags,
 5 chains, each with 25000 iterations (first 5000 discarded), n.thin = 25
 n.sims = 4000 iterations saved
                     mu.vect sd.vect   2.5%    25%    50%    75%   97.5%  Rhat n.eff
beta.cond.humid       -0.507   0.418 -1.327 -0.788 -0.510 -0.228   0.335 1.001  3400
beta.cond.lfarea       0.323   0.236 -0.158  0.171  0.318  0.478   0.787 1.002  2000
beta.cond.lwr         -0.154   0.217 -0.591 -0.296 -0.152 -0.010   0.275 1.001  4000
beta.cond.sdi          0.121   0.374 -0.613 -0.116  0.127  0.362   0.856 1.003  1400
beta.cond.sla          0.385   0.323 -0.235  0.169  0.380  0.593   1.049 1.002  2200
beta.cond.spi         -0.022   0.210 -0.433 -0.160 -0.025  0.116   0.394 1.001  4000
beta.cond.temp        -0.656   0.347 -1.352 -0.872 -0.660 -0.435   0.023 1.002  2300
beta.fluor.humid      -0.047   0.421 -0.922 -0.314 -0.045  0.216   0.790 1.001  4000
beta.fluor.lfarea     -0.122   0.210 -0.538 -0.260 -0.123  0.013   0.294 1.001  4000
beta.fluor.lwr         0.069   0.206 -0.344 -0.068  0.070  0.205   0.464 1.001  4000
beta.fluor.sdi         0.396   0.356 -0.309  0.167  0.403  0.621   1.097 1.001  4000
beta.fluor.sla         0.037   0.302 -0.550 -0.158  0.035  0.234   0.639 1.002  1700
beta.fluor.spi         0.155   0.194 -0.219  0.030  0.150  0.276   0.552 1.001  2800
beta.fluor.temp       -0.206   0.343 -0.873 -0.429 -0.212  0.012   0.481 1.001  4000
beta.lftemp.humid      0.034   0.513 -1.050 -0.281  0.053  0.369   1.018 1.001  2900
beta.lftemp.lfarea    -0.161   0.275 -0.695 -0.339 -0.162  0.022   0.374 1.000  4000
beta.lftemp.lwr       -0.206   0.266 -0.720 -0.383 -0.206 -0.029   0.317 1.001  3400
beta.lftemp.sdi        0.383   0.453 -0.483  0.088  0.371  0.674   1.346 1.001  2800
beta.lftemp.sla       -0.290   0.384 -1.049 -0.543 -0.286 -0.032   0.435 1.001  4000
beta.lftemp.spi       -0.086   0.246 -0.579 -0.247 -0.083  0.072   0.401 1.001  4000
beta.lftemp.temp       0.277   0.528 -0.969  0.011  0.326  0.619   1.151 1.002  2100
beta.photo.cond        0.351   0.517 -0.642  0.004  0.350  0.688   1.374 1.001  4000
beta.photo.fluor      -0.104   0.315 -0.735 -0.307 -0.102  0.096   0.534 1.002  2400
beta.photo.humid      -0.069   0.322 -0.687 -0.278 -0.073  0.143   0.560 1.001  3600
beta.photo.lftemp     -0.328   0.280 -0.888 -0.512 -0.333 -0.150   0.227 1.001  4000
beta.photo.trans       0.438   0.345 -0.243  0.214  0.444  0.659   1.115 1.001  4000
beta.trans.humid      -0.744   0.582 -1.879 -1.124 -0.755 -0.389   0.450 1.004   800
