Path analysis results at De Hoop 
 physiology-path-analysis-model-2.txt 

Inference for Bugs model at "physiology-path-analysis-model-2.txt", fit using jags,
 5 chains, each with 25000 iterations (first 5000 discarded), n.thin = 25
 n.sims = 4000 iterations saved
                     mu.vect sd.vect   2.5%    25%    50%    75%   97.5%  Rhat n.eff
beta.cond.lfarea       0.286   0.282 -0.266  0.096  0.286  0.471   0.837 1.001  4000
beta.cond.lftemp       0.296   0.330 -0.364  0.079  0.297  0.514   0.946 1.001  4000
beta.cond.lwr         -0.477   0.301 -1.090 -0.670 -0.479 -0.280   0.115 1.002  2300
beta.cond.sdi          0.314   0.183 -0.038  0.198  0.313  0.428   0.683 1.002  2400
beta.cond.sla         -0.212   0.212 -0.631 -0.347 -0.213 -0.075   0.208 1.001  4000
beta.cond.spi          0.548   0.221  0.115  0.408  0.548  0.691   0.994 1.001  4000
beta.cond.trans       -0.940   0.245 -1.412 -1.100 -0.945 -0.779  -0.452 1.001  4000
beta.fluor.humid      -0.982   0.387 -1.726 -1.239 -0.988 -0.728  -0.229 1.001  4000
beta.fluor.lfarea     -0.227   0.342 -0.904 -0.457 -0.223  0.006   0.432 1.003  1200
beta.fluor.lwr         0.527   0.373 -0.179  0.277  0.528  0.766   1.273 1.003  1200
beta.fluor.sdi         0.517   0.231  0.072  0.361  0.514  0.670   0.968 1.001  4000
beta.fluor.sla        -0.144   0.258 -0.645 -0.311 -0.140  0.026   0.369 1.001  4000
beta.fluor.spi        -0.220   0.268 -0.761 -0.394 -0.218 -0.040   0.284 1.003  1300
beta.fluor.temp       -0.351   0.292 -0.915 -0.540 -0.354 -0.158   0.231 1.002  2400
beta.lftemp.humid     -0.890   0.376 -1.641 -1.134 -0.883 -0.639  -0.150 1.003  1200
beta.lftemp.lfarea    -0.047   0.246 -0.550 -0.198 -0.042  0.112   0.435 1.001  4000
beta.lftemp.lwr        0.375   0.289 -0.182  0.180  0.369  0.560   0.958 1.002  2500
beta.lftemp.sdi        0.128   0.161 -0.190  0.025  0.126  0.230   0.459 1.001  4000
beta.lftemp.sla        0.446   0.199  0.050  0.317  0.445  0.577   0.845 1.001  4000
beta.lftemp.spi       -0.582   0.198 -1.001 -0.709 -0.577 -0.453  -0.197 1.002  2300
