Path analysis results at De Hoop 
 physiology-path-analysis-model-1.txt 

Inference for Bugs model at "physiology-path-analysis-model-1.txt", fit using jags,
 5 chains, each with 25000 iterations (first 5000 discarded), n.thin = 25
 n.sims = 4000 iterations saved
                     mu.vect sd.vect    2.5%     25%    50%    75%  97.5%  Rhat n.eff
mu.ph[26,1]            0.727   0.345   0.024   0.515  0.744  0.951  1.365 1.001  4000
mu.ph[1,2]             1.487   0.527   0.475   1.148  1.478  1.833  2.516 1.001  2700
mu.ph[2,2]             0.242   0.588  -0.939  -0.133  0.254  0.630  1.360 1.001  2800
mu.ph[3,2]             0.626   0.459  -0.288   0.322  0.644  0.922  1.501 1.001  4000
mu.ph[4,2]             0.507   0.452  -0.421   0.211  0.507  0.804  1.370 1.001  4000
mu.ph[5,2]            -0.352   0.506  -1.354  -0.678 -0.352 -0.032  0.650 1.001  3500
mu.ph[6,2]            -0.821   0.496  -1.764  -1.161 -0.827 -0.505  0.170 1.001  4000
mu.ph[7,2]             1.349   0.380   0.557   1.106  1.362  1.600  2.059 1.001  4000
mu.ph[8,2]             1.211   0.379   0.429   0.966  1.213  1.471  1.927 1.001  4000
mu.ph[9,2]             0.426   0.366  -0.309   0.188  0.437  0.660  1.135 1.001  3500
mu.ph[10,2]            0.242   0.411  -0.588  -0.030  0.247  0.520  1.025 1.003  1400
mu.ph[11,2]            1.933   0.554   0.795   1.572  1.954  2.302  2.974 1.000  4000
mu.ph[12,2]            1.011   0.566  -0.120   0.655  1.014  1.389  2.119 1.001  3500
mu.ph[13,2]            1.072   0.535   0.019   0.729  1.054  1.422  2.146 1.001  4000
mu.ph[14,2]            0.206   0.429  -0.643  -0.088  0.208  0.501  1.019 1.001  4000
mu.ph[15,2]           -0.472   0.515  -1.497  -0.809 -0.476 -0.134  0.563 1.001  4000
mu.ph[16,2]           -1.178   0.511  -2.168  -1.506 -1.194 -0.859 -0.153 1.001  4000
mu.ph[17,2]           -1.326   0.512  -2.301  -1.663 -1.323 -1.002 -0.302 1.001  4000
mu.ph[18,2]           -1.779   0.512  -2.771  -2.108 -1.783 -1.454 -0.754 1.001  4000
mu.ph[19,2]           -0.365   0.562  -1.466  -0.732 -0.374 -0.006  0.820 1.001  4000
mu.ph[20,2]           -1.289   0.521  -2.302  -1.630 -1.285 -0.943 -0.299 1.001  3900
mu.ph[21,2]            0.459   0.465  -0.471   0.146  0.455  0.774  1.361 1.001  4000
mu.ph[22,2]            1.269   0.493   0.310   0.949  1.276  1.591  2.240 1.001  3500
mu.ph[23,2]           -0.949   0.512  -1.963  -1.286 -0.937 -0.614  0.036 1.001  4000
mu.ph[24,2]           -0.026   0.504  -1.039  -0.356 -0.026  0.315  0.948 1.001  4000
mu.ph[25,2]            0.048   0.467  -0.848  -0.264  0.042  0.360  0.986 1.001  4000
mu.ph[26,2]           -0.457   0.477  -1.402  -0.767 -0.468 -0.148  0.499 1.001  3300
mu.ph[1,3]             0.660   0.362  -0.073   0.433  0.665  0.892  1.384 1.002  2300
mu.ph[2,3]             0.356   0.386  -0.445   0.112  0.367  0.606  1.088 1.002  2400
mu.ph[3,3]             0.480   0.316  -0.154   0.284  0.488  0.692  1.076 1.001  4000
mu.ph[4,3]             0.634   0.306   0.027   0.441  0.640  0.842  1.210 1.001  4000
mu.ph[5,3]            -0.364   0.339  -1.024  -0.597 -0.362 -0.146  0.332 1.001  3800
mu.ph[6,3]            -0.431   0.332  -1.075  -0.649 -0.433 -0.216  0.227 1.001  4000
mu.ph[7,3]            -0.375   0.255  -0.882  -0.543 -0.374 -0.201  0.123 1.001  4000
mu.ph[8,3]            -0.029   0.263  -0.552  -0.198 -0.030  0.149  0.485 1.001  4000
mu.ph[9,3]            -0.307   0.245  -0.802  -0.465 -0.303 -0.146  0.177 1.001  2800
mu.ph[10,3]           -0.747   0.263  -1.281  -0.910 -0.746 -0.578 -0.229 1.001  4000
mu.ph[11,3]           -0.252   0.362  -0.952  -0.491 -0.249 -0.022  0.469 1.001  3300
mu.ph[12,3]           -0.514   0.381  -1.278  -0.750 -0.515 -0.266  0.231 1.001  4000
mu.ph[13,3]            0.747   0.353   0.063   0.517  0.741  0.978  1.459 1.001  3300
mu.ph[14,3]           -0.269   0.284  -0.826  -0.454 -0.265 -0.086  0.271 1.001  4000
mu.ph[15,3]            0.010   0.344  -0.650  -0.212  0.002  0.229  0.718 1.001  3900
mu.ph[16,3]           -1.004   0.331  -1.661  -1.220 -1.009 -0.797 -0.310 1.002  1900
mu.ph[17,3]           -0.834   0.342  -1.500  -1.051 -0.840 -0.624 -0.128 1.001  4000
mu.ph[18,3]           -0.921   0.333  -1.561  -1.144 -0.925 -0.697 -0.262 1.001  4000
mu.ph[19,3]            1.037   0.372   0.290   0.792  1.036  1.281  1.768 1.001  4000
mu.ph[20,3]           -0.652   0.360  -1.372  -0.881 -0.652 -0.415  0.052 1.001  4000
mu.ph[21,3]            0.306   0.309  -0.309   0.105  0.301  0.507  0.923 1.001  4000
mu.ph[22,3]            0.209   0.330  -0.436  -0.006  0.203  0.426  0.867 1.001  4000
mu.ph[23,3]           -0.483   0.344  -1.173  -0.699 -0.476 -0.258  0.185 1.001  4000
mu.ph[24,3]            0.474   0.348  -0.223   0.251  0.476  0.695  1.164 1.001  4000
mu.ph[25,3]           -0.769   0.330  -1.390  -0.993 -0.772 -0.561 -0.090 1.001  4000
mu.ph[26,3]           -1.479   0.319  -2.086  -1.692 -1.486 -1.265 -0.830 1.001  4000
mu.ph[1,4]            -0.383   0.356  -1.094  -0.608 -0.379 -0.152  0.306 1.000  4000
mu.ph[2,4]            -0.570   0.378  -1.332  -0.811 -0.563 -0.332  0.161 1.001  4000
mu.ph[3,4]             1.276   0.308   0.659   1.083  1.273  1.471  1.875 1.005  2200
mu.ph[4,4]             1.521   0.304   0.909   1.326  1.522  1.724  2.116 1.002  2200
mu.ph[5,4]             0.582   0.343  -0.094   0.360  0.583  0.806  1.245 1.001  4000
mu.ph[6,4]             1.209   0.335   0.526   0.995  1.217  1.431  1.850 1.001  3700
mu.ph[7,4]            -0.202   0.251  -0.684  -0.370 -0.200 -0.037  0.303 1.003  1300
mu.ph[8,4]             0.124   0.261  -0.372  -0.048  0.122  0.290  0.652 1.002  1500
mu.ph[9,4]             0.583   0.241   0.091   0.430  0.589  0.742  1.042 1.001  4000
mu.ph[10,4]            0.220   0.263  -0.316   0.057  0.224  0.395  0.731 1.001  4000
mu.ph[11,4]           -1.089   0.362  -1.815  -1.333 -1.088 -0.850 -0.366 1.001  3000
mu.ph[12,4]           -1.338   0.385  -2.100  -1.593 -1.331 -1.089 -0.589 1.001  4000
mu.ph[13,4]            1.679   0.348   0.959   1.462  1.684  1.914  2.354 1.002  4000
mu.ph[14,4]            0.734   0.292   0.133   0.544  0.740  0.927  1.299 1.001  4000
mu.ph[15,4]           -1.200   0.338  -1.853  -1.422 -1.206 -0.986 -0.507 1.001  4000
mu.ph[16,4]           -1.878   0.328  -2.508  -2.092 -1.887 -1.667 -1.215 1.001  4000
mu.ph[17,4]            0.736   0.336   0.077   0.523  0.739  0.951  1.394 1.002  2100
mu.ph[18,4]            1.092   0.333   0.423   0.878  1.097  1.312  1.741 1.001  4000
mu.ph[19,4]            0.163   0.375  -0.532  -0.093  0.151  0.403  0.924 1.001  3800
mu.ph[20,4]           -1.077   0.349  -1.744  -1.305 -1.080 -0.857 -0.392 1.001  4000
mu.ph[21,4]           -0.497   0.315  -1.111  -0.703 -0.499 -0.298  0.135 1.002  2300
mu.ph[22,4]           -0.854   0.328  -1.486  -1.074 -0.855 -0.641 -0.196 1.001  3200
mu.ph[23,4]           -1.291   0.341  -1.984  -1.506 -1.294 -1.077 -0.602 1.001  4000
mu.ph[24,4]           -0.950   0.336  -1.598  -1.170 -0.945 -0.736 -0.272 1.001  4000
mu.ph[25,4]           -0.475   0.327  -1.086  -0.696 -0.488 -0.268  0.181 1.001  4000
mu.ph[26,4]           -1.112   0.324  -1.715  -1.331 -1.126 -0.903 -0.452 1.001  4000
mu.photo[1]           -0.154   0.280  -0.724  -0.333 -0.155  0.028  0.399 1.001  2700
mu.photo[2]           -0.809   0.215  -1.228  -0.947 -0.809 -0.665 -0.381 1.001  4000
mu.photo[3]            1.233   0.216   0.809   1.089  1.235  1.377  1.658 1.001  4000
mu.photo[4]            1.751   0.224   1.317   1.601  1.754  1.895  2.195 1.001  4000
mu.photo[5]            0.673   0.234   0.222   0.516  0.670  0.827  1.139 1.001  4000
mu.photo[6]            0.371   0.206  -0.037   0.235  0.372  0.507  0.765 1.001  4000
mu.photo[7]            0.579   0.263   0.060   0.411  0.576  0.745  1.103 1.001  4000
mu.photo[8]            0.562   0.217   0.137   0.423  0.564  0.700  1.000 1.001  4000
mu.photo[9]            1.215   0.236   0.752   1.058  1.216  1.370  1.688 1.002  3700
mu.photo[10]           0.834   0.273   0.292   0.651  0.838  1.014  1.378 1.001  4000
mu.photo[11]          -0.703   0.281  -1.259  -0.886 -0.703 -0.516 -0.144 1.001  4000
mu.photo[12]          -0.886   0.236  -1.362  -1.038 -0.884 -0.732 -0.412 1.001  4000
mu.photo[13]           1.479   0.278   0.929   1.302  1.478  1.658  2.032 1.002  4000
mu.photo[14]           0.907   0.207   0.487   0.776  0.912  1.034  1.320 1.001  4000
mu.photo[15]          -0.897   0.279  -1.456  -1.079 -0.899 -0.713 -0.343 1.001  4000
mu.photo[16]          -2.321   0.340  -3.001  -2.541 -2.320 -2.098 -1.661 1.001  4000
mu.photo[17]           0.604   0.261   0.082   0.432  0.608  0.777  1.120 1.001  4000
mu.photo[18]           1.342   0.246   0.860   1.182  1.348  1.502  1.819 1.001  3400
mu.photo[19]           0.129   0.309  -0.480  -0.081  0.129  0.336  0.729 1.000  4000
mu.photo[20]          -0.530   0.264  -1.062  -0.698 -0.527 -0.358 -0.001 1.001  4000
mu.photo[21]          -0.110   0.201  -0.511  -0.238 -0.109  0.024  0.275 1.001  4000
mu.photo[22]          -0.055   0.247  -0.552  -0.212 -0.053  0.111  0.424 1.001  4000
mu.photo[23]          -0.610   0.250  -1.109  -0.774 -0.612 -0.450 -0.108 1.001  4000
mu.photo[24]          -0.511   0.240  -0.981  -0.667 -0.512 -0.359 -0.033 1.001  4000
mu.photo[25]          -0.449   0.177  -0.801  -0.563 -0.449 -0.335 -0.102 1.000  4000
mu.photo[26]          -1.252   0.290  -1.815  -1.441 -1.252 -1.059 -0.672 1.000  4000
phx.lf[1,1]            0.932   0.271   0.537   0.739  0.884  1.075  1.586 1.001  3700
phx.lf[2,1]           -0.051   0.110  -0.286  -0.112 -0.048  0.014  0.157 1.001  4000
phx.lf[3,1]           -0.276   0.145  -0.605  -0.356 -0.258 -0.179 -0.041 1.001  4000
phx.lf[4,1]            0.197   0.170  -0.112   0.092  0.185  0.286  0.567 1.002  1900
phx.lf[5,1]            0.201   0.165  -0.090   0.094  0.185  0.289  0.558 1.002  1800
phx.lf[1,2]           -0.051   0.110  -0.286  -0.112 -0.048  0.014  0.157 1.001  4000
phx.lf[2,2]            0.302   0.089   0.177   0.240  0.285  0.347  0.520 1.001  4000
phx.lf[3,2]            0.019   0.077  -0.133  -0.027  0.017  0.063  0.178 1.001  4000
phx.lf[4,2]           -0.027   0.092  -0.218  -0.080 -0.024  0.028  0.152 1.002  1500
phx.lf[5,2]            0.097   0.093  -0.074   0.040  0.091  0.150  0.297 1.002  1800
phx.lf[1,3]           -0.276   0.145  -0.605  -0.356 -0.258 -0.179 -0.041 1.001  4000
phx.lf[2,3]            0.019   0.077  -0.133  -0.027  0.017  0.063  0.178 1.001  4000
phx.lf[3,3]            0.466   0.134   0.274   0.371  0.440  0.534  0.784 1.001  4000
phx.lf[4,3]           -0.067   0.117  -0.315  -0.134 -0.060  0.006  0.158 1.002  2600
phx.lf[5,3]           -0.095   0.116  -0.347  -0.162 -0.088 -0.023  0.117 1.001  4000
phx.lf[1,4]            0.197   0.170  -0.112   0.092  0.185  0.286  0.567 1.002  1900
phx.lf[2,4]           -0.027   0.092  -0.218  -0.080 -0.024  0.028  0.152 1.002  1500
phx.lf[3,4]           -0.067   0.117  -0.315  -0.134 -0.060  0.006  0.158 1.002  2600
phx.lf[4,4]            0.719   0.207   0.419   0.576  0.686  0.822  1.221 1.001  4000
phx.lf[5,4]            0.288   0.154   0.039   0.185  0.270  0.369  0.637 1.001  4000
phx.lf[1,5]            0.201   0.165  -0.090   0.094  0.185  0.289  0.558 1.002  1800
phx.lf[2,5]            0.097   0.093  -0.074   0.040  0.091  0.150  0.297 1.002  1800
phx.lf[3,5]           -0.095   0.116  -0.347  -0.162 -0.088 -0.023  0.117 1.001  4000
phx.lf[4,5]            0.288   0.154   0.039   0.185  0.270  0.369  0.637 1.001  4000
phx.lf[5,5]            0.693   0.202   0.408   0.551  0.656  0.795  1.196 1.000  4000
phx.ph[1,1]            0.219   0.107   0.085   0.145  0.196  0.265  0.481 1.001  3300
phx.ph[2,1]            0.080   0.101  -0.094   0.018  0.069  0.131  0.319 1.001  4000
phx.ph[3,1]            0.006   0.067  -0.131  -0.030  0.004  0.040  0.149 1.001  4000
phx.ph[4,1]           -0.048   0.071  -0.225  -0.080 -0.037 -0.004  0.068 1.002  2700
phx.ph[1,2]            0.080   0.101  -0.094   0.018  0.069  0.131  0.319 1.001  4000
phx.ph[2,2]            0.480   0.199   0.228   0.343  0.436  0.573  0.990 1.001  4000
phx.ph[3,2]            0.118   0.096  -0.034   0.057  0.105  0.164  0.348 1.000  4000
phx.ph[4,2]            0.022   0.092  -0.164  -0.028  0.019  0.068  0.211 1.000  4000
phx.ph[1,3]            0.006   0.067  -0.131  -0.030  0.004  0.040  0.149 1.001  4000
phx.ph[2,3]            0.118   0.096  -0.034   0.057  0.105  0.164  0.348 1.000  4000
phx.ph[3,3]            0.212   0.089   0.097   0.151  0.194  0.250  0.443 1.001  4000
phx.ph[4,3]            0.082   0.067  -0.024   0.040  0.073  0.115  0.240 1.001  4000
phx.ph[1,4]           -0.048   0.071  -0.225  -0.080 -0.037 -0.004  0.068 1.002  2700
phx.ph[2,4]            0.022   0.092  -0.164  -0.028  0.019  0.068  0.211 1.000  4000
phx.ph[3,4]            0.082   0.067  -0.024   0.040  0.073  0.115  0.240 1.001  4000
phx.ph[4,4]            0.203   0.090   0.090   0.142  0.183  0.240  0.431 1.002  1900
rho.lf[1,1]            1.000   0.000   1.000   1.000  1.000  1.000  1.000 1.000     1
rho.lf[2,1]           -0.094   0.187  -0.452  -0.224 -0.100  0.031  0.272 1.001  4000
rho.lf[3,1]           -0.413   0.156  -0.683  -0.522 -0.426 -0.316 -0.076 1.001  4000
rho.lf[4,1]            0.237   0.176  -0.141   0.126  0.246  0.361  0.562 1.002  2100
rho.lf[5,1]            0.246   0.172  -0.111   0.130  0.253  0.367  0.558 1.002  1800
rho.lf[1,2]           -0.094   0.187  -0.452  -0.224 -0.100  0.031  0.272 1.001  4000
rho.lf[2,2]            1.000   0.000   1.000   1.000  1.000  1.000  1.000 1.000     1
rho.lf[3,2]            0.049   0.186  -0.317  -0.077  0.049  0.179  0.408 1.001  4000
rho.lf[4,2]           -0.057   0.181  -0.401  -0.182 -0.057  0.064  0.306 1.002  1800
rho.lf[5,2]            0.210   0.176  -0.165   0.099  0.218  0.337  0.523 1.002  1600
rho.lf[1,3]           -0.413   0.156  -0.683  -0.522 -0.426 -0.316 -0.076 1.001  4000
rho.lf[2,3]            0.049   0.186  -0.317  -0.077  0.049  0.179  0.408 1.001  4000
rho.lf[3,3]            1.000   0.000   1.000   1.000  1.000  1.000  1.000 1.000     1
rho.lf[4,3]           -0.113   0.182  -0.450  -0.241 -0.114  0.011  0.257 1.002  2200
rho.lf[5,3]           -0.164   0.181  -0.500  -0.292 -0.171 -0.045  0.206 1.001  4000
rho.lf[1,4]            0.237   0.176  -0.141   0.126  0.246  0.361  0.562 1.002  2100
rho.lf[2,4]           -0.057   0.181  -0.401  -0.182 -0.057  0.064  0.306 1.002  1800
rho.lf[3,4]           -0.113   0.182  -0.450  -0.241 -0.114  0.011  0.257 1.002  2200
rho.lf[4,4]            1.000   0.000   1.000   1.000  1.000  1.000  1.000 1.000     1
rho.lf[5,4]            0.403   0.156   0.061   0.305  0.414  0.513  0.677 1.001  4000
rho.lf[1,5]            0.246   0.172  -0.111   0.130  0.253  0.367  0.558 1.002  1800
