Path analysis results at Kleinmond 
 physiology-path-analysis-model-5.txt 

Inference for Bugs model at "physiology-path-analysis-model-5.txt", fit using jags,
 5 chains, each with 25000 iterations (first 5000 discarded), n.thin = 25
 n.sims = 4000 iterations saved
                     mu.vect sd.vect   2.5%    25%    50%    75%   97.5%  Rhat n.eff
beta.cond.humid       -0.513   0.428 -1.363 -0.787 -0.508 -0.235   0.324 1.001  3900
beta.cond.lfarea       0.324   0.232 -0.124  0.170  0.322  0.472   0.791 1.000  4000
beta.cond.lwr         -0.154   0.223 -0.606 -0.294 -0.154 -0.006   0.276 1.001  4000
beta.cond.sdi          0.128   0.368 -0.606 -0.109  0.130  0.372   0.841 1.001  4000
beta.cond.sla          0.389   0.327 -0.239  0.169  0.383  0.600   1.031 1.001  4000
beta.cond.spi         -0.020   0.210 -0.441 -0.154 -0.016  0.121   0.385 1.001  4000
beta.cond.temp        -0.665   0.358 -1.366 -0.901 -0.658 -0.423   0.002 1.001  3100
beta.fluor.humid      -0.054   0.422 -0.913 -0.322 -0.048  0.213   0.763 1.001  4000
beta.fluor.lfarea     -0.130   0.211 -0.545 -0.267 -0.128  0.003   0.288 1.001  4000
beta.fluor.lwr         0.073   0.213 -0.336 -0.072  0.071  0.215   0.493 1.001  3600
beta.fluor.sdi         0.395   0.350 -0.288  0.169  0.396  0.622   1.105 1.001  4000
beta.fluor.sla         0.032   0.295 -0.549 -0.156  0.033  0.216   0.628 1.002  2300
beta.fluor.spi         0.158   0.194 -0.219  0.032  0.157  0.282   0.544 1.002  2400
beta.fluor.temp       -0.218   0.350 -0.892 -0.445 -0.221  0.000   0.493 1.002  1600
beta.lftemp.humid      0.024   0.526 -1.072 -0.290  0.039  0.356   1.025 1.001  4000
beta.lftemp.lfarea    -0.150   0.278 -0.683 -0.333 -0.151  0.027   0.403 1.001  4000
beta.lftemp.lwr       -0.209   0.266 -0.722 -0.384 -0.211 -0.034   0.320 1.000  4000
beta.lftemp.sdi        0.382   0.459 -0.489  0.075  0.374  0.687   1.320 1.001  4000
