Path analysis results at Kleinmond 
 physiology-path-analysis-model-4.txt 

Inference for Bugs model at "physiology-path-analysis-model-4.txt", fit using jags,
 5 chains, each with 25000 iterations (first 5000 discarded), n.thin = 25
 n.sims = 4000 iterations saved
                     mu.vect sd.vect   2.5%    25%    50%    75%   97.5%  Rhat n.eff
beta.cond.humid       -0.519   0.423 -1.380 -0.789 -0.519 -0.232   0.282 1.001  3700
beta.cond.lfarea       0.323   0.227 -0.143  0.181  0.324  0.471   0.761 1.001  4000
beta.cond.lwr         -0.159   0.222 -0.600 -0.305 -0.162 -0.014   0.274 1.001  4000
beta.cond.sdi          0.116   0.371 -0.601 -0.116  0.111  0.359   0.831 1.002  2400
beta.cond.sla          0.390   0.319 -0.224  0.176  0.388  0.595   1.021 1.001  4000
beta.cond.spi         -0.020   0.207 -0.437 -0.149 -0.020  0.112   0.392 1.001  3500
beta.cond.temp        -0.667   0.355 -1.381 -0.901 -0.671 -0.430   0.034 1.001  4000
beta.fluor.humid      -0.053   0.414 -0.927 -0.305 -0.050  0.218   0.742 1.002  1500
beta.fluor.lfarea     -0.136   0.213 -0.552 -0.275 -0.137  0.006   0.282 1.001  4000
beta.fluor.lwr         0.071   0.212 -0.347 -0.069  0.070  0.213   0.480 1.001  4000
beta.fluor.sdi         0.386   0.359 -0.316  0.146  0.385  0.616   1.113 1.002  1600
beta.fluor.sla         0.038   0.296 -0.543 -0.156  0.035  0.229   0.639 1.001  2800
beta.fluor.spi         0.156   0.193 -0.218  0.025  0.152  0.283   0.531 1.001  2800
beta.fluor.temp       -0.216   0.348 -0.897 -0.445 -0.215  0.004   0.479 1.001  4000
beta.lftemp.humid      0.023   0.529 -1.095 -0.301  0.039  0.364   1.018 1.002  3600
beta.lftemp.lfarea    -0.149   0.273 -0.692 -0.327 -0.149  0.031   0.387 1.001  4000
beta.lftemp.lwr       -0.215   0.268 -0.748 -0.388 -0.218 -0.044   0.324 1.003  1100
beta.lftemp.sdi        0.394   0.461 -0.520  0.099  0.391  0.691   1.341 1.001  4000
beta.lftemp.sla       -0.289   0.376 -1.032 -0.538 -0.289 -0.040   0.449 1.001  4000
beta.lftemp.spi       -0.090   0.248 -0.577 -0.248 -0.084  0.075   0.391 1.001  4000
beta.lftemp.temp       0.274   0.509 -0.912  0.016  0.324  0.606   1.120 1.006  2400
beta.photo.cond        0.761   0.249  0.278  0.595  0.759  0.924   1.260 1.001  4000
beta.photo.fluor      -0.199   0.321 -0.822 -0.406 -0.197  0.009   0.429 1.001  4000
beta.photo.lftemp     -0.009   0.213 -0.426 -0.147 -0.012  0.129   0.424 1.001  4000
beta.trans.humid      -0.786   0.582 -1.879 -1.182 -0.803 -0.403   0.356 1.001  4000
beta.trans.lfarea      0.334   0.287 -0.251  0.153  0.341  0.518   0.887 1.001  4000
