Path analysis results at De Hoop 
 physiology-path-analysis-model-1.txt 

Inference for Bugs model at "physiology-path-analysis-model-1.txt", fit using jags,
 5 chains, each with 25000 iterations (first 5000 discarded), n.thin = 25
 n.sims = 4000 iterations saved
                     mu.vect sd.vect    2.5%    25%    50%    75%  97.5%  Rhat n.eff
mu.ph[26,1]            0.724   0.345   0.004  0.509  0.735  0.949  1.361 1.002  2200
mu.ph[1,2]             1.499   0.528   0.453  1.160  1.497  1.834  2.554 1.001  3000
mu.ph[2,2]             0.245   0.579  -0.967 -0.124  0.260  0.627  1.351 1.001  3400
mu.ph[3,2]             0.632   0.462  -0.287  0.332  0.637  0.933  1.557 1.001  4000
mu.ph[4,2]             0.510   0.457  -0.398  0.218  0.516  0.809  1.403 1.000  4000
mu.ph[5,2]            -0.350   0.492  -1.303 -0.671 -0.350 -0.036  0.640 1.001  4000
mu.ph[6,2]            -0.811   0.490  -1.777 -1.132 -0.814 -0.486  0.141 1.001  4000
mu.ph[7,2]             1.345   0.375   0.579  1.106  1.354  1.588  2.080 1.001  4000
mu.ph[8,2]             1.209   0.378   0.453  0.971  1.214  1.450  1.961 1.001  4000
mu.ph[9,2]             0.413   0.362  -0.315  0.188  0.423  0.646  1.104 1.001  3200
mu.ph[10,2]            0.226   0.401  -0.587 -0.029  0.230  0.490  1.002 1.002  2500
mu.ph[11,2]            1.942   0.547   0.831  1.586  1.950  2.312  2.992 1.001  4000
mu.ph[12,2]            1.031   0.569  -0.080  0.661  1.032  1.402  2.185 1.001  4000
mu.ph[13,2]            1.080   0.520   0.095  0.728  1.078  1.410  2.121 1.002  1500
mu.ph[14,2]            0.205   0.419  -0.632 -0.065  0.208  0.478  0.998 1.001  3100
mu.ph[15,2]           -0.462   0.510  -1.416 -0.813 -0.477 -0.139  0.613 1.001  2800
mu.ph[16,2]           -1.169   0.508  -2.136 -1.508 -1.181 -0.837 -0.153 1.001  4000
mu.ph[17,2]           -1.320   0.503  -2.307 -1.647 -1.330 -1.006 -0.272 1.001  3500
mu.ph[18,2]           -1.772   0.502  -2.728 -2.109 -1.775 -1.451 -0.757 1.002  1800
mu.ph[19,2]           -0.368   0.553  -1.423 -0.730 -0.376 -0.017  0.744 1.001  3800
mu.ph[20,2]           -1.292   0.528  -2.314 -1.639 -1.278 -0.950 -0.219 1.000  4000
mu.ph[21,2]            0.442   0.448  -0.440  0.140  0.441  0.743  1.326 1.001  4000
mu.ph[22,2]            1.254   0.484   0.292  0.944  1.251  1.587  2.196 1.001  4000
mu.ph[23,2]           -0.960   0.501  -1.975 -1.280 -0.947 -0.634  0.044 1.002  2400
mu.ph[24,2]           -0.034   0.498  -0.983 -0.369 -0.038  0.279  0.982 1.002  2200
mu.ph[25,2]            0.042   0.466  -0.869 -0.267  0.044  0.347  0.975 1.001  2900
mu.ph[26,2]           -0.458   0.467  -1.382 -0.763 -0.462 -0.161  0.440 1.001  3900
mu.ph[1,3]             0.666   0.367  -0.083  0.432  0.673  0.908  1.388 1.001  4000
mu.ph[2,3]             0.353   0.389  -0.443  0.102  0.363  0.609  1.120 1.001  4000
mu.ph[3,3]             0.484   0.314  -0.151  0.280  0.491  0.691  1.089 1.001  4000
mu.ph[4,3]             0.633   0.303   0.034  0.444  0.634  0.836  1.245 1.001  4000
mu.ph[5,3]            -0.363   0.335  -1.017 -0.583 -0.359 -0.144  0.297 1.001  4000
mu.ph[6,3]            -0.427   0.327  -1.087 -0.644 -0.423 -0.218  0.226 1.002  2200
mu.ph[7,3]            -0.377   0.244  -0.870 -0.531 -0.377 -0.219  0.107 1.002  2600
mu.ph[8,3]            -0.029   0.251  -0.525 -0.187 -0.031  0.138  0.470 1.001  4000
mu.ph[9,3]            -0.307   0.242  -0.803 -0.462 -0.306 -0.154  0.167 1.001  4000
mu.ph[10,3]           -0.750   0.267  -1.284 -0.915 -0.752 -0.574 -0.230 1.001  3500
mu.ph[11,3]           -0.252   0.363  -0.983 -0.483 -0.252 -0.018  0.456 1.001  4000
mu.ph[12,3]           -0.502   0.384  -1.282 -0.746 -0.498 -0.253  0.243 1.001  4000
mu.ph[13,3]            0.757   0.349   0.071  0.535  0.761  0.975  1.471 1.001  4000
mu.ph[14,3]           -0.264   0.286  -0.837 -0.447 -0.261 -0.075  0.292 1.001  3800
mu.ph[15,3]            0.002   0.341  -0.662 -0.227 -0.002  0.219  0.692 1.002  2500
