Path analysis results at De Hoop 
 physiology-path-analysis-model-4.txt 

Inference for Bugs model at "physiology-path-analysis-model-4.txt", fit using jags,
 5 chains, each with 25000 iterations (first 5000 discarded), n.thin = 25
 n.sims = 4000 iterations saved
                     mu.vect sd.vect    2.5%    25%    50%    75%  97.5%  Rhat n.eff
beta.cond.humid        0.357   0.308  -0.254  0.157  0.352  0.558  0.966 1.001  4000
beta.cond.lfarea       0.278   0.227  -0.171  0.132  0.277  0.431  0.730 1.001  4000
beta.cond.lwr         -0.416   0.262  -0.916 -0.596 -0.418 -0.245  0.107 1.001  4000
beta.cond.sdi          0.315   0.152   0.006  0.219  0.316  0.413  0.603 1.000  4000
beta.cond.sla         -0.231   0.181  -0.590 -0.350 -0.229 -0.114  0.130 1.001  4000
beta.cond.spi          0.520   0.185   0.156  0.398  0.522  0.642  0.882 1.001  4000
beta.cond.temp        -0.910   0.230  -1.345 -1.067 -0.915 -0.763 -0.438 1.001  4000
beta.fluor.humid      -0.975   0.402  -1.748 -1.239 -0.979 -0.712 -0.191 1.001  4000
beta.fluor.lfarea     -0.226   0.345  -0.904 -0.450 -0.235 -0.001  0.458 1.001  4000
beta.fluor.lwr         0.541   0.369  -0.194  0.303  0.537  0.780  1.282 1.001  4000
beta.fluor.sdi         0.509   0.235   0.034  0.355  0.509  0.659  0.969 1.001  4000
beta.fluor.sla        -0.148   0.256  -0.650 -0.325 -0.150  0.027  0.352 1.001  4000
beta.fluor.spi        -0.208   0.267  -0.734 -0.384 -0.205 -0.039  0.316 1.000  4000
beta.fluor.temp       -0.357   0.300  -0.960 -0.551 -0.357 -0.168  0.211 1.001  4000
beta.lftemp.humid     -0.824   0.380  -1.589 -1.064 -0.824 -0.573 -0.083 1.001  4000
beta.lftemp.lfarea    -0.050   0.245  -0.531 -0.208 -0.051  0.113  0.418 1.001  4000
beta.lftemp.lwr        0.400   0.285  -0.176  0.212  0.401  0.585  0.964 1.001  4000
beta.lftemp.sdi        0.122   0.162  -0.197  0.016  0.120  0.225  0.446 1.001  4000
beta.lftemp.sla        0.447   0.198   0.053  0.318  0.445  0.577  0.848 1.001  4000
beta.lftemp.spi       -0.590   0.202  -1.001 -0.719 -0.590 -0.459 -0.188 1.000  4000
beta.lftemp.temp       0.233   0.288  -0.370  0.054  0.243  0.426  0.782 1.001  4000
beta.photo.cond        0.894   0.184   0.527  0.771  0.893  1.014  1.260 1.000  4000
beta.photo.fluor       0.132   0.114  -0.092  0.060  0.133  0.205  0.356 1.001  3500
beta.photo.lftemp      0.105   0.227  -0.326 -0.049  0.104  0.253  0.555 1.000  4000
beta.trans.humid       0.013   0.285  -0.573 -0.163  0.021  0.203  0.558 1.001  4000
