Path analysis results at De Hoop 
 physiology-path-analysis-model-2.txt 

Inference for Bugs model at "physiology-path-analysis-model-2.txt", fit using jags,
 5 chains, each with 25000 iterations (first 5000 discarded), n.thin = 25
 n.sims = 4000 iterations saved
                     mu.vect sd.vect   2.5%    25%    50%    75%   97.5%  Rhat n.eff
beta.cond.lfarea       0.277   0.275 -0.275  0.096  0.280  0.452   0.825 1.002  1500
beta.cond.lftemp       0.291   0.329 -0.346  0.078  0.292  0.498   0.956 1.001  4000
beta.cond.lwr         -0.462   0.297 -1.056 -0.658 -0.464 -0.262   0.111 1.001  4000
beta.cond.sdi          0.316   0.185 -0.048  0.193  0.315  0.434   0.697 1.001  3100
beta.cond.sla         -0.215   0.208 -0.622 -0.352 -0.216 -0.084   0.203 1.001  3200
beta.cond.spi          0.542   0.224  0.107  0.396  0.542  0.684   0.988 1.001  4000
beta.cond.trans       -0.940   0.245 -1.415 -1.104 -0.942 -0.780  -0.438 1.001  4000
beta.fluor.humid      -0.992   0.390 -1.744 -1.251 -1.004 -0.742  -0.177 1.001  4000
beta.fluor.lfarea     -0.226   0.341 -0.887 -0.461 -0.227 -0.006   0.456 1.001  3800
beta.fluor.lwr         0.533   0.369 -0.174  0.286  0.527  0.774   1.290 1.002  1800
beta.fluor.sdi         0.522   0.235  0.065  0.365  0.517  0.675   0.984 1.001  4000
beta.fluor.sla        -0.155   0.254 -0.651 -0.322 -0.158  0.015   0.329 1.002  2300
beta.fluor.spi        -0.219   0.264 -0.740 -0.391 -0.214 -0.049   0.301 1.001  4000
beta.fluor.temp       -0.367   0.295 -0.940 -0.564 -0.368 -0.172   0.232 1.001  4000
beta.lftemp.humid     -0.893   0.381 -1.655 -1.149 -0.882 -0.630  -0.165 1.002  1500
beta.lftemp.lfarea    -0.049   0.239 -0.533 -0.197 -0.046  0.107   0.410 1.002  2500
beta.lftemp.lwr        0.374   0.292 -0.184  0.180  0.369  0.565   0.965 1.002  2100
beta.lftemp.sdi        0.130   0.157 -0.187  0.029  0.132  0.230   0.440 1.001  4000
beta.lftemp.sla        0.450   0.199  0.070  0.312  0.447  0.584   0.845 1.001  4000
beta.lftemp.spi       -0.581   0.194 -0.996 -0.707 -0.574 -0.451  -0.217 1.002  2400
beta.lftemp.temp       0.192   0.285 -0.393  0.010  0.204  0.386   0.716 1.003  1400
beta.photo.cond        0.686   0.183  0.328  0.564  0.687  0.805   1.039 1.001  4000
beta.photo.fluor       0.306   0.119  0.070  0.229  0.305  0.384   0.539 1.001  4000
beta.photo.humid       0.355   0.133  0.099  0.269  0.356  0.441   0.618 1.002  2600
beta.photo.lftemp     -0.069   0.212 -0.494 -0.209 -0.067  0.071   0.335 1.000  4000
beta.trans.humid       0.083   0.276 -0.446 -0.100  0.075  0.265   0.642 1.001  4000
beta.trans.lfarea      0.243   0.235 -0.229  0.091  0.240  0.402   0.701 1.000  4000
beta.trans.lwr         0.020   0.264 -0.491 -0.152  0.021  0.190   0.542 1.002  1800
beta.trans.sdi         0.400   0.155  0.098  0.302  0.398  0.503   0.698 1.001  4000
beta.trans.sla         0.035   0.182 -0.309 -0.090  0.035  0.153   0.409 1.001  4000
beta.trans.spi         0.343   0.184 -0.018  0.222  0.344  0.462   0.710 1.002  1700
beta.trans.temp       -0.101   0.212 -0.517 -0.240 -0.100  0.038   0.313 1.000  4000
mu.lf[1]               0.456   0.189  0.088  0.333  0.459  0.579   0.831 1.001  3600
mu.lf[2]              -0.609   0.109 -0.823 -0.683 -0.610 -0.536  -0.391 1.001  3400
mu.lf[3]              -0.601   0.135 -0.870 -0.688 -0.601 -0.512  -0.337 1.001  4000
mu.lf[4]              -0.320   0.166 -0.647 -0.429 -0.317 -0.209   0.007 1.001  4000
mu.lf[5]               0.658   0.166  0.334  0.550  0.657  0.769   0.997 1.002  2100
mu.ph[1,1]             1.153   0.368  0.439  0.903  1.145  1.386   1.936 1.001  2900
mu.ph[2,1]             0.627   0.394 -0.155  0.377  0.624  0.881   1.408 1.001  4000
mu.ph[3,1]            -0.575   0.321 -1.236 -0.772 -0.569 -0.370   0.034 1.001  3300
mu.ph[4,1]            -1.002   0.320 -1.655 -1.198 -0.988 -0.786  -0.408 1.001  4000
mu.ph[5,1]            -0.369   0.365 -1.052 -0.606 -0.383 -0.146   0.410 1.002  2000
mu.ph[6,1]            -1.131   0.348 -1.820 -1.357 -1.132 -0.904  -0.450 1.001  2800
mu.ph[7,1]             0.807   0.278  0.223  0.632  0.814  0.999   1.321 1.001  2900
mu.ph[8,1]             0.669   0.296  0.058  0.480  0.677  0.865   1.226 1.002  1800
mu.ph[9,1]            -0.194   0.256 -0.694 -0.359 -0.198 -0.034   0.318 1.001  3500
mu.ph[10,1]           -0.244   0.287 -0.783 -0.433 -0.249 -0.061   0.334 1.001  4000
mu.ph[11,1]            1.213   0.373  0.445  0.986  1.222  1.454   1.933 1.002  2400
mu.ph[12,1]            1.587   0.392  0.775  1.335  1.600  1.843   2.336 1.001  4000
mu.ph[13,1]           -1.016   0.372 -1.754 -1.251 -1.027 -0.787  -0.255 1.002  2400
mu.ph[14,1]           -0.860   0.321 -1.457 -1.080 -0.864 -0.658  -0.199 1.001  3500
mu.ph[15,1]            0.183   0.353 -0.488 -0.046  0.170  0.403   0.929 1.001  3500
