Path analysis results at De Hoop 
 physiology-path-analysis-model-3.txt 

Inference for Bugs model at "physiology-path-analysis-model-3.txt", fit using jags,
 5 chains, each with 25000 iterations (first 5000 discarded), n.thin = 25
 n.sims = 4000 iterations saved
                     mu.vect sd.vect   2.5%    25%    50%    75%   97.5%  Rhat n.eff
beta.cond.lftemp       0.191   0.380 -0.506 -0.070  0.176  0.426   1.015 1.003  1400
beta.cond.trans       -0.721   0.286 -1.271 -0.909 -0.727 -0.543  -0.132 1.003  1000
beta.fluor.humid      -0.990   0.397 -1.769 -1.251 -0.994 -0.729  -0.191 1.001  3700
beta.fluor.lfarea     -0.227   0.339 -0.886 -0.460 -0.225  0.002   0.435 1.002  1500
beta.fluor.lwr         0.529   0.364 -0.167  0.290  0.526  0.763   1.253 1.001  2700
beta.fluor.sdi         0.520   0.236  0.053  0.364  0.517  0.677   0.992 1.001  4000
beta.fluor.sla        -0.150   0.253 -0.649 -0.318 -0.151  0.015   0.343 1.000  4000
beta.fluor.spi        -0.219   0.267 -0.732 -0.393 -0.219 -0.042   0.306 1.002  2500
beta.fluor.temp       -0.365   0.298 -0.956 -0.561 -0.360 -0.168   0.216 1.002  2400
beta.lftemp.humid     -0.896   0.374 -1.637 -1.139 -0.891 -0.649  -0.163 1.001  4000
beta.lftemp.lfarea    -0.050   0.237 -0.533 -0.199 -0.049  0.108   0.406 1.003  1300
beta.lftemp.lwr        0.374   0.285 -0.185  0.188  0.372  0.556   0.940 1.002  2700
beta.lftemp.sdi        0.123   0.161 -0.197  0.023  0.121  0.224   0.445 1.001  4000
beta.lftemp.sla        0.449   0.195  0.062  0.325  0.446  0.575   0.848 1.002  1500
beta.lftemp.spi       -0.579   0.199 -0.988 -0.706 -0.575 -0.446  -0.205 1.001  4000
beta.lftemp.temp       0.192   0.287 -0.407  0.011  0.203  0.390   0.726 1.001  4000
beta.photo.cond        0.578   0.190  0.203  0.453  0.578  0.700   0.967 1.001  4000
beta.photo.fluor       0.311   0.115  0.085  0.238  0.311  0.387   0.540 1.001  4000
beta.photo.humid       0.217   0.155 -0.087  0.116  0.216  0.321   0.511 1.001  4000
beta.photo.lftemp     -0.050   0.206 -0.468 -0.182 -0.051  0.084   0.360 1.001  4000
beta.photo.temp       -0.263   0.164 -0.591 -0.370 -0.261 -0.155   0.057 1.002  1600
beta.trans.humid       0.082   0.275 -0.468 -0.098  0.080  0.255   0.629 1.001  4000
beta.trans.lfarea      0.243   0.233 -0.224  0.098  0.242  0.393   0.698 1.001  3600
beta.trans.lwr         0.009   0.262 -0.504 -0.164  0.012  0.183   0.524 1.001  2800
beta.trans.sdi         0.401   0.156  0.097  0.298  0.402  0.502   0.716 1.002  2000
beta.trans.sla         0.037   0.178 -0.312 -0.080  0.040  0.156   0.385 1.001  2800
beta.trans.spi         0.345   0.183 -0.018  0.225  0.347  0.470   0.698 1.002  2200
beta.trans.temp       -0.101   0.207 -0.509 -0.234 -0.101  0.035   0.305 1.002  2100
mu.lf[1]               0.452   0.191  0.073  0.327  0.456  0.579   0.813 1.001  2900
mu.lf[2]              -0.607   0.108 -0.821 -0.675 -0.610 -0.537  -0.393 1.002  2200
mu.lf[3]              -0.603   0.136 -0.869 -0.695 -0.602 -0.510  -0.337 1.002  2400
mu.lf[4]              -0.325   0.165 -0.652 -0.433 -0.324 -0.212  -0.010 1.001  4000
mu.lf[5]               0.652   0.165  0.335  0.545  0.655  0.762   0.975 1.002  1800
mu.ph[1,1]             1.150   0.368  0.447  0.909  1.143  1.384   1.898 1.001  4000
mu.ph[2,1]             0.639   0.378 -0.090  0.405  0.637  0.880   1.404 1.001  4000
mu.ph[3,1]            -0.586   0.315 -1.231 -0.788 -0.578 -0.381   0.020 1.001  4000
mu.ph[4,1]            -1.010   0.317 -1.656 -1.214 -0.998 -0.800  -0.411 1.001  4000
mu.ph[5,1]            -0.370   0.364 -1.047 -0.613 -0.387 -0.140   0.400 1.001  4000
mu.ph[6,1]            -1.130   0.338 -1.772 -1.348 -1.137 -0.913  -0.449 1.001  4000
mu.ph[7,1]             0.807   0.268  0.235  0.643  0.814  0.989   1.311 1.001  4000
mu.ph[8,1]             0.668   0.288  0.051  0.486  0.680  0.860   1.190 1.001  4000
mu.ph[9,1]            -0.196   0.255 -0.685 -0.364 -0.197 -0.029   0.316 1.001  4000
mu.ph[10,1]           -0.241   0.286 -0.791 -0.426 -0.246 -0.064   0.346 1.000  4000
mu.ph[11,1]            1.218   0.368  0.459  0.994  1.218  1.458   1.942 1.002  2500
mu.ph[12,1]            1.596   0.387  0.822  1.348  1.611  1.852   2.331 1.001  2700
mu.ph[13,1]           -1.024   0.370 -1.714 -1.273 -1.042 -0.786  -0.255 1.001  4000
mu.ph[14,1]           -0.856   0.315 -1.437 -1.071 -0.863 -0.658  -0.182 1.001  4000
mu.ph[15,1]            0.181   0.355 -0.500 -0.057  0.171  0.402   0.909 1.000  4000
mu.ph[16,1]            0.328   0.341 -0.327  0.109  0.321  0.543   1.034 1.001  4000
mu.ph[17,1]           -0.625   0.349 -1.293 -0.855 -0.635 -0.410   0.090 1.001  4000
mu.ph[18,1]           -1.131   0.349 -1.827 -1.347 -1.128 -0.907  -0.459 1.001  3800
mu.ph[19,1]            1.031   0.392  0.196  0.793  1.044  1.288   1.784 1.001  4000
mu.ph[20,1]            1.200   0.370  0.453  0.960  1.212  1.446   1.893 1.002  2500
