Path analysis results at Kleinmond 
 physiology-path-analysis-model-1.txt 

Inference for Bugs model at "physiology-path-analysis-model-1.txt", fit using jags,
 5 chains, each with 25000 iterations (first 5000 discarded), n.thin = 25
 n.sims = 4000 iterations saved
                     mu.vect sd.vect   2.5%    25%    50%    75%   97.5%  Rhat n.eff
beta.cond.humid       -0.519   0.415 -1.329 -0.794 -0.518 -0.252   0.311 1.002  1600
beta.cond.lfarea       0.329   0.230 -0.132  0.179  0.332  0.478   0.774 1.002  2500
beta.cond.lwr         -0.156   0.220 -0.584 -0.301 -0.158 -0.010   0.281 1.003  1400
beta.cond.sdi          0.140   0.366 -0.535 -0.108  0.139  0.374   0.888 1.002  2300
beta.cond.sla          0.375   0.313 -0.262  0.175  0.382  0.574   0.997 1.002  2100
beta.cond.spi         -0.023   0.205 -0.445 -0.152 -0.021  0.109   0.370 1.001  3300
beta.cond.temp        -0.665   0.352 -1.347 -0.897 -0.666 -0.441   0.040 1.001  4000
beta.fluor.humid      -0.053   0.415 -0.876 -0.323 -0.045  0.214   0.762 1.003  1100
beta.fluor.lfarea     -0.129   0.213 -0.559 -0.270 -0.132  0.010   0.297 1.002  2100
beta.fluor.lwr         0.071   0.211 -0.342 -0.068  0.069  0.211   0.481 1.001  4000
beta.fluor.sdi         0.388   0.370 -0.358  0.154  0.390  0.621   1.110 1.003  1300
beta.fluor.sla         0.039   0.297 -0.560 -0.145  0.038  0.234   0.618 1.002  2300
beta.fluor.spi         0.152   0.190 -0.229  0.030  0.153  0.276   0.527 1.001  2800
beta.fluor.temp       -0.215   0.347 -0.906 -0.435 -0.218  0.005   0.479 1.001  4000
beta.lftemp.humid      0.051   0.510 -1.021 -0.271  0.066  0.388   1.031 1.005   650
beta.lftemp.lfarea    -0.148   0.270 -0.672 -0.330 -0.152  0.028   0.387 1.001  3500
beta.lftemp.lwr       -0.213   0.270 -0.747 -0.390 -0.210 -0.033   0.312 1.001  4000
beta.lftemp.sdi        0.370   0.459 -0.517  0.066  0.362  0.663   1.310 1.002  2200
beta.lftemp.sla       -0.290   0.384 -1.062 -0.542 -0.281 -0.028   0.450 1.001  4000
beta.lftemp.spi       -0.083   0.244 -0.566 -0.240 -0.084  0.077   0.396 1.001  4000
beta.lftemp.temp       0.313   0.493 -0.809  0.044  0.354  0.629   1.167 1.005   760
beta.photo.cond        0.356   0.511 -0.683  0.027  0.359  0.688   1.360 1.001  4000
beta.photo.fluor      -0.103   0.318 -0.724 -0.311 -0.099  0.106   0.532 1.001  4000
beta.photo.humid      -0.066   0.320 -0.709 -0.273 -0.065  0.138   0.572 1.000  4000
beta.photo.lftemp     -0.325   0.280 -0.865 -0.511 -0.327 -0.147   0.236 1.001  4000
beta.photo.trans       0.438   0.339 -0.224  0.214  0.442  0.664   1.108 1.001  4000
beta.trans.humid      -0.779   0.599 -1.916 -1.174 -0.784 -0.396   0.409 1.001  2800
beta.trans.lfarea      0.351   0.293 -0.235  0.163  0.355  0.542   0.920 1.003  1400
beta.trans.lwr        -0.114   0.285 -0.680 -0.301 -0.113  0.080   0.427 1.002  1500
beta.trans.sdi        -0.255   0.473 -1.187 -0.571 -0.248  0.066   0.669 1.003  1400
beta.trans.sla         0.517   0.408 -0.264  0.241  0.505  0.780   1.343 1.002  2000
beta.trans.spi        -0.065   0.272 -0.631 -0.236 -0.062  0.116   0.458 1.002  2300
beta.trans.temp       -0.360   0.509 -1.370 -0.687 -0.362 -0.036   0.644 1.001  4000
mu.lf[1]              -0.556   0.167 -0.888 -0.665 -0.557 -0.449  -0.225 1.001  4000
mu.lf[2]               0.748   0.200  0.368  0.618  0.745  0.879   1.146 1.002  1800
mu.lf[3]               0.746   0.184  0.378  0.625  0.747  0.864   1.111 1.003  1200
mu.lf[4]               0.396   0.230 -0.051  0.245  0.395  0.547   0.853 1.001  4000
mu.lf[5]              -0.818   0.102 -1.019 -0.886 -0.820 -0.753  -0.612 1.001  3300
mu.ph[1,1]            -0.802   0.543 -1.870 -1.144 -0.817 -0.458   0.316 1.001  4000
mu.ph[2,1]             0.035   0.574 -1.075 -0.347  0.038  0.399   1.202 1.001  4000
mu.ph[3,1]            -0.256   0.551 -1.382 -0.611 -0.243  0.102   0.796 1.000  4000
mu.ph[4,1]            -0.266   0.553 -1.349 -0.618 -0.269  0.093   0.824 1.001  4000
mu.ph[5,1]             0.442   0.475 -0.475  0.131  0.437  0.749   1.357 1.002  2300
mu.ph[6,1]             0.222   0.486 -0.714 -0.100  0.227  0.539   1.230 1.001  4000
mu.ph[7,1]             0.279   0.623 -0.934 -0.128  0.287  0.673   1.560 1.001  4000
mu.ph[8,1]            -0.123   0.504 -1.123 -0.440 -0.112  0.202   0.820 1.003  1300
mu.ph[9,1]            -0.310   0.471 -1.269 -0.616 -0.301  0.000   0.592 1.001  2800
mu.ph[10,1]            0.406   0.521 -0.627  0.074  0.409  0.748   1.424 1.001  3900
mu.ph[11,1]            0.432   0.440 -0.469  0.152  0.438  0.723   1.270 1.001  4000
mu.ph[12,1]            0.488   0.516 -0.586  0.164  0.494  0.819   1.486 1.001  3700
mu.ph[13,1]            0.904   0.517 -0.127  0.567  0.913  1.249   1.912 1.001  3700
mu.ph[14,1]           -1.066   0.505 -2.105 -1.384 -1.059 -0.739  -0.086 1.001  4000
mu.ph[15,1]           -1.407   0.531 -2.497 -1.748 -1.402 -1.064  -0.398 1.001  4000
mu.ph[16,1]           -1.619   0.504 -2.582 -1.957 -1.637 -1.286  -0.585 1.001  4000
mu.ph[17,1]           -2.041   0.542 -3.085 -2.401 -2.046 -1.700  -0.957 1.001  4000
mu.ph[18,1]           -0.079   0.612 -1.363 -0.461 -0.067  0.319   1.098 1.001  3300
mu.ph[19,1]           -0.726   0.546 -1.790 -1.090 -0.728 -0.374   0.370 1.001  4000
mu.ph[20,1]           -0.980   0.477 -1.891 -1.292 -0.983 -0.668  -0.043 1.001  4000
mu.ph[21,1]           -0.819   0.610 -2.007 -1.220 -0.825 -0.418   0.373 1.001  4000
mu.ph[1,2]             0.326   0.431 -0.510  0.048  0.330  0.598   1.193 1.000  4000
mu.ph[2,2]             0.130   0.452 -0.782 -0.156  0.137  0.414   1.007 1.001  4000
