Path analysis results at De Hoop 
 physiology-path-analysis-model-3.txt 

Inference for Bugs model at "physiology-path-analysis-model-3.txt", fit using jags,
 5 chains, each with 25000 iterations (first 5000 discarded), n.thin = 25
 n.sims = 4000 iterations saved
                     mu.vect sd.vect   2.5%    25%    50%    75%   97.5%  Rhat n.eff
mu.ph[5,2]            -0.368   0.496 -1.320 -0.700 -0.383 -0.045   0.622 1.001  4000
mu.ph[6,2]            -0.824   0.487 -1.780 -1.151 -0.831 -0.505   0.141 1.001  4000
mu.ph[7,2]             1.349   0.381  0.569  1.108  1.356  1.596   2.085 1.001  3200
mu.ph[8,2]             1.214   0.378  0.478  0.961  1.217  1.467   1.957 1.001  3700
mu.ph[9,2]             0.421   0.366 -0.312  0.184  0.420  0.668   1.132 1.001  3700
mu.ph[10,2]            0.235   0.410 -0.594 -0.028  0.240  0.502   1.024 1.001  3700
mu.ph[11,2]            1.932   0.543  0.853  1.578  1.929  2.297   2.981 1.001  4000
mu.ph[12,2]            1.028   0.569 -0.103  0.660  1.030  1.416   2.144 1.001  3600
mu.ph[13,2]            1.080   0.529  0.079  0.730  1.075  1.416   2.149 1.001  4000
mu.ph[14,2]            0.201   0.439 -0.675 -0.083  0.202  0.487   1.081 1.001  4000
mu.ph[15,2]           -0.448   0.512 -1.424 -0.793 -0.463 -0.134   0.579 1.002  1800
mu.ph[16,2]           -1.159   0.506 -2.141 -1.500 -1.161 -0.831  -0.167 1.001  4000
mu.ph[17,2]           -1.328   0.509 -2.364 -1.659 -1.331 -0.995  -0.311 1.000  4000
mu.ph[18,2]           -1.783   0.510 -2.757 -2.109 -1.787 -1.458  -0.735 1.001  4000
mu.ph[19,2]           -0.375   0.555 -1.450 -0.742 -0.378 -0.019   0.731 1.001  4000
mu.ph[20,2]           -1.297   0.520 -2.339 -1.632 -1.299 -0.960  -0.284 1.001  3100
mu.ph[21,2]            0.447   0.445 -0.431  0.158  0.450  0.745   1.326 1.001  4000
mu.ph[22,2]            1.256   0.484  0.291  0.931  1.278  1.576   2.206 1.001  4000
mu.ph[23,2]           -0.955   0.514 -1.994 -1.281 -0.953 -0.623   0.053 1.001  4000
mu.ph[24,2]           -0.026   0.515 -1.028 -0.358 -0.038  0.305   1.012 1.001  4000
mu.ph[25,2]            0.046   0.469 -0.867 -0.259  0.036  0.359   0.985 1.001  2800
mu.ph[26,2]           -0.455   0.468 -1.377 -0.773 -0.448 -0.147   0.477 1.001  3700
mu.ph[1,3]             0.690   0.363 -0.028  0.454  0.690  0.930   1.396 1.001  4000
mu.ph[2,3]             0.377   0.400 -0.418  0.118  0.389  0.641   1.121 1.001  4000
mu.ph[3,3]             0.478   0.316 -0.172  0.280  0.476  0.682   1.093 1.001  4000
mu.ph[4,3]             0.650   0.308  0.025  0.452  0.662  0.854   1.253 1.001  4000
mu.ph[5,3]            -0.339   0.338 -1.018 -0.553 -0.337 -0.119   0.321 1.001  3800
mu.ph[6,3]            -0.405   0.323 -1.038 -0.611 -0.403 -0.201   0.237 1.001  4000
mu.ph[7,3]            -0.405   0.248 -0.889 -0.569 -0.408 -0.244   0.080 1.001  2900
mu.ph[8,3]            -0.069   0.254 -0.580 -0.235 -0.069  0.097   0.429 1.001  4000
mu.ph[9,3]            -0.295   0.242 -0.778 -0.450 -0.290 -0.136   0.184 1.001  4000
mu.ph[10,3]           -0.715   0.267 -1.271 -0.887 -0.711 -0.537  -0.192 1.000  4000
mu.ph[11,3]           -0.277   0.364 -0.997 -0.513 -0.274 -0.047   0.449 1.001  3100
mu.ph[12,3]           -0.509   0.387 -1.267 -0.761 -0.508 -0.258   0.265 1.001  3100
mu.ph[13,3]            0.794   0.362  0.102  0.559  0.790  1.024   1.517 1.001  3800
mu.ph[14,3]           -0.236   0.291 -0.816 -0.424 -0.234 -0.049   0.340 1.001  4000
mu.ph[15,3]            0.007   0.345 -0.662 -0.217 -0.006  0.224   0.726 1.001  4000
mu.ph[16,3]           -1.024   0.340 -1.683 -1.255 -1.025 -0.803  -0.348 1.001  4000
mu.ph[17,3]           -0.818   0.338 -1.465 -1.044 -0.826 -0.604  -0.134 1.001  4000
mu.ph[18,3]           -0.942   0.336 -1.596 -1.158 -0.948 -0.730  -0.252 1.001  3900
mu.ph[19,3]            0.973   0.372  0.232  0.742  0.976  1.212   1.698 1.001  4000
mu.ph[20,3]           -0.665   0.357 -1.383 -0.897 -0.660 -0.431   0.033 1.002  2200
mu.ph[21,3]            0.257   0.305 -0.346  0.055  0.255  0.465   0.858 1.001  4000
mu.ph[22,3]            0.171   0.325 -0.463 -0.045  0.174  0.381   0.804 1.001  3400
mu.ph[23,3]           -0.488   0.347 -1.180 -0.716 -0.480 -0.259   0.191 1.002  2500
mu.ph[24,3]            0.482   0.350 -0.217  0.259  0.487  0.714   1.189 1.001  4000
mu.ph[25,3]           -0.824   0.342 -1.468 -1.050 -0.827 -0.610  -0.113 1.001  4000
mu.ph[26,3]           -1.523   0.334 -2.153 -1.741 -1.533 -1.310  -0.847 1.001  4000
mu.photo[1]           -0.125   0.261 -0.658 -0.292 -0.127  0.044   0.399 1.001  4000
mu.photo[2]           -0.803   0.210 -1.212 -0.938 -0.804 -0.666  -0.386 1.001  4000
mu.photo[3]            1.185   0.160  0.866  1.084  1.186  1.284   1.500 1.001  4000
mu.photo[4]            1.724   0.211  1.305  1.585  1.726  1.861   2.125 1.000  4000
mu.photo[5]            0.676   0.232  0.221  0.524  0.676  0.823   1.134 1.000  4000
mu.photo[6]            0.371   0.201 -0.021  0.242  0.369  0.497   0.776 1.001  4000
mu.photo[7]            0.615   0.234  0.164  0.459  0.615  0.767   1.079 1.001  4000
mu.photo[8]            0.531   0.185  0.169  0.409  0.530  0.652   0.904 1.001  4000
mu.photo[9]            1.238   0.211  0.817  1.099  1.240  1.378   1.646 1.001  4000
mu.photo[10]           0.868   0.230  0.412  0.717  0.870  1.023   1.328 1.001  4000
mu.photo[11]          -0.680   0.263 -1.197 -0.850 -0.681 -0.509  -0.174 1.000  4000
mu.photo[12]          -0.881   0.229 -1.330 -1.031 -0.883 -0.731  -0.433 1.001  4000
mu.photo[13]           1.513   0.242  1.030  1.356  1.511  1.670   1.991 1.001  4000
mu.photo[14]           0.910   0.202  0.503  0.782  0.910  1.040   1.313 1.002  2500
mu.photo[15]          -0.936   0.249 -1.438 -1.094 -0.932 -0.780  -0.442 1.002  2300
mu.photo[16]          -2.327   0.335 -2.992 -2.548 -2.327 -2.107  -1.681 1.001  4000
mu.photo[17]           0.601   0.256  0.089  0.432  0.603  0.773   1.114 1.000  4000
mu.photo[18]           1.307   0.227  0.858  1.160  1.308  1.458   1.755 1.000  4000
mu.photo[19]           0.095   0.275 -0.473 -0.085  0.100  0.274   0.641 1.001  3900
mu.photo[20]          -0.501   0.227 -0.954 -0.650 -0.497 -0.352  -0.057 1.001  3600
mu.photo[21]          -0.155   0.130 -0.404 -0.242 -0.157 -0.067   0.091 1.001  4000
mu.photo[22]          -0.107   0.173 -0.447 -0.224 -0.107  0.011   0.220 1.001  4000
mu.photo[23]          -0.598   0.234 -1.062 -0.751 -0.597 -0.446  -0.123 1.002  2500
mu.photo[24]          -0.533   0.222 -0.984 -0.679 -0.532 -0.390  -0.089 1.002  2300
mu.photo[25]          -0.452   0.169 -0.781 -0.565 -0.456 -0.340  -0.115 1.001  4000
mu.photo[26]          -1.205   0.247 -1.696 -1.367 -1.202 -1.041  -0.722 1.001  4000
phx.lf[1,1]            0.930   0.266  0.540  0.745  0.885  1.066   1.596 1.001  4000
phx.lf[2,1]           -0.048   0.106 -0.276 -0.111 -0.046  0.017   0.165 1.001  3200
phx.lf[3,1]           -0.277   0.143 -0.616 -0.353 -0.260 -0.179  -0.041 1.001  4000
phx.lf[4,1]            0.197   0.173 -0.109  0.088  0.183  0.290   0.586 1.001  4000
phx.lf[5,1]            0.204   0.168 -0.087  0.096  0.191  0.291   0.586 1.001  4000
phx.lf[1,2]           -0.048   0.106 -0.276 -0.111 -0.046  0.017   0.165 1.001  3200
phx.lf[2,2]            0.302   0.091  0.177  0.239  0.285  0.346   0.524 1.001  4000
phx.lf[3,2]            0.016   0.077 -0.141 -0.028  0.014  0.061   0.172 1.002  1700
phx.lf[4,2]           -0.026   0.098 -0.233 -0.080 -0.024  0.034   0.169 1.001  3500
phx.lf[5,2]            0.100   0.096 -0.071  0.040  0.093  0.152   0.314 1.001  4000
phx.lf[1,3]           -0.277   0.143 -0.616 -0.353 -0.260 -0.179  -0.041 1.001  4000
phx.lf[2,3]            0.016   0.077 -0.141 -0.028  0.014  0.061   0.172 1.002  1700
phx.lf[3,3]            0.465   0.136  0.274  0.368  0.443  0.535   0.793 1.000  4000
phx.lf[4,3]           -0.064   0.117 -0.309 -0.131 -0.059  0.008   0.161 1.001  4000
