Path analysis results at De Hoop 

Inference for Bugs model at "physiology-path-analysis-with-wue.txt", fit using jags,
 5 chains, each with 25000 iterations (first 5000 discarded), n.thin = 25
 n.sims = 4000 iterations saved
                   mu.vect sd.vect   2.5%    25%    50%    75%   97.5%  Rhat n.eff
mu.ph[3,2]           0.636   0.461 -0.307  0.340  0.650  0.934   1.519 1.001  4000
mu.ph[4,2]           0.509   0.459 -0.403  0.211  0.517  0.811   1.409 1.001  3900
mu.ph[5,2]          -0.350   0.500 -1.327 -0.678 -0.359 -0.017   0.643 1.001  4000
mu.ph[6,2]          -0.807   0.501 -1.762 -1.136 -0.820 -0.477   0.213 1.001  4000
mu.ph[7,2]           1.348   0.386  0.575  1.104  1.350  1.601   2.087 1.002  2500
mu.ph[8,2]           1.214   0.385  0.453  0.966  1.220  1.460   1.949 1.002  1600
mu.ph[9,2]           0.425   0.369 -0.318  0.193  0.430  0.670   1.173 1.001  2900
mu.ph[10,2]          0.234   0.408 -0.589 -0.029  0.240  0.499   1.030 1.001  4000
mu.ph[11,2]          1.929   0.556  0.775  1.559  1.936  2.288   3.001 1.001  4000
mu.ph[12,2]          1.031   0.572 -0.096  0.660  1.036  1.406   2.149 1.002  1500
mu.ph[13,2]          1.083   0.536  0.058  0.734  1.065  1.421   2.173 1.001  4000
mu.ph[14,2]          0.202   0.431 -0.659 -0.083  0.202  0.484   1.075 1.001  4000
mu.ph[15,2]         -0.447   0.505 -1.417 -0.783 -0.462 -0.131   0.621 1.002  2300
mu.ph[16,2]         -1.152   0.503 -2.126 -1.478 -1.166 -0.834  -0.136 1.002  2600
mu.ph[17,2]         -1.317   0.512 -2.255 -1.652 -1.338 -0.995  -0.241 1.001  4000
mu.ph[18,2]         -1.769   0.512 -2.761 -2.111 -1.787 -1.443  -0.716 1.001  4000
mu.ph[19,2]         -0.373   0.560 -1.496 -0.741 -0.378 -0.008   0.734 1.001  4000
mu.ph[20,2]         -1.300   0.524 -2.356 -1.632 -1.302 -0.963  -0.257 1.001  4000
mu.ph[21,2]          0.440   0.452 -0.480  0.145  0.438  0.744   1.315 1.001  4000
mu.ph[22,2]          1.257   0.483  0.284  0.943  1.261  1.569   2.220 1.001  4000
mu.ph[23,2]         -0.947   0.508 -1.978 -1.272 -0.946 -0.617   0.022 1.001  4000
mu.ph[24,2]         -0.015   0.497 -0.985 -0.341 -0.010  0.312   0.956 1.001  4000
mu.ph[25,2]          0.035   0.463 -0.868 -0.272  0.032  0.340   0.964 1.002  2400
mu.ph[26,2]         -0.459   0.466 -1.349 -0.776 -0.458 -0.155   0.459 1.002  2300
mu.ph[1,3]           0.698   0.365 -0.033  0.464  0.697  0.938   1.423 1.001  3800
mu.ph[2,3]           0.386   0.392 -0.443  0.141  0.392  0.632   1.150 1.001  3400
mu.ph[3,3]           0.479   0.316 -0.140  0.266  0.480  0.688   1.098 1.002  2000
mu.ph[4,3]           0.645   0.301  0.039  0.449  0.645  0.842   1.226 1.002  2100
mu.ph[5,3]          -0.324   0.335 -0.965 -0.547 -0.330 -0.110   0.351 1.001  4000
mu.ph[6,3]          -0.395   0.337 -1.084 -0.613 -0.390 -0.171   0.259 1.001  4000
mu.ph[7,3]          -0.408   0.251 -0.913 -0.568 -0.406 -0.238   0.071 1.001  2700
mu.ph[8,3]          -0.070   0.255 -0.590 -0.238 -0.062  0.099   0.416 1.002  2700
mu.ph[9,3]          -0.297   0.244 -0.786 -0.456 -0.289 -0.138   0.174 1.001  4000
mu.ph[10,3]         -0.722   0.264 -1.235 -0.892 -0.726 -0.551  -0.195 1.001  4000
mu.ph[11,3]         -0.272   0.369 -0.991 -0.515 -0.274 -0.040   0.464 1.003  1100
mu.ph[12,3]         -0.510   0.387 -1.295 -0.765 -0.509 -0.253   0.263 1.002  1900
mu.ph[13,3]          0.790   0.362  0.096  0.548  0.789  1.019   1.516 1.001  3000
mu.ph[14,3]         -0.235   0.287 -0.803 -0.425 -0.237 -0.043   0.315 1.001  4000
mu.ph[15,3]          0.008   0.346 -0.657 -0.219 -0.006  0.230   0.708 1.001  4000
mu.ph[16,3]         -1.018   0.325 -1.652 -1.228 -1.026 -0.807  -0.354 1.001  4000
mu.ph[17,3]         -0.834   0.350 -1.498 -1.067 -0.847 -0.606  -0.109 1.001  2800
mu.ph[18,3]         -0.951   0.336 -1.603 -1.178 -0.955 -0.738  -0.282 1.001  3500
mu.ph[19,3]          0.987   0.370  0.259  0.745  0.987  1.229   1.724 1.001  4000
mu.ph[20,3]         -0.664   0.345 -1.325 -0.888 -0.668 -0.442   0.042 1.001  4000
mu.ph[21,3]          0.256   0.305 -0.338  0.057  0.252  0.453   0.859 1.002  1700
mu.ph[22,3]          0.170   0.327 -0.493 -0.040  0.175  0.381   0.820 1.003  1300
mu.ph[23,3]         -0.475   0.340 -1.157 -0.700 -0.472 -0.248   0.184 1.001  4000
mu.ph[24,3]          0.494   0.341 -0.175  0.267  0.492  0.712   1.192 1.001  4000
mu.ph[25,3]         -0.842   0.334 -1.483 -1.064 -0.852 -0.628  -0.150 1.001  3300
mu.ph[26,3]         -1.542   0.321 -2.159 -1.752 -1.554 -1.338  -0.874 1.001  4000
mu.photo[1]         -0.128   0.260 -0.658 -0.300 -0.128  0.040   0.375 1.001  4000
mu.photo[2]         -0.802   0.205 -1.201 -0.934 -0.804 -0.667  -0.389 1.001  4000
mu.photo[3]          1.181   0.160  0.866  1.077  1.181  1.288   1.501 1.001  4000
mu.photo[4]          1.717   0.208  1.304  1.580  1.716  1.855   2.119 1.001  4000
mu.photo[5]          0.673   0.226  0.218  0.527  0.678  0.820   1.106 1.000  4000
mu.photo[6]          0.371   0.204 -0.035  0.241  0.369  0.505   0.762 1.001  4000
mu.photo[7]          0.609   0.231  0.141  0.459  0.611  0.760   1.064 1.001  4000
mu.photo[8]          0.526   0.182  0.162  0.407  0.527  0.645   0.877 1.001  4000
mu.photo[9]          1.234   0.206  0.830  1.101  1.233  1.367   1.638 1.014  4000
mu.photo[10]         0.866   0.225  0.421  0.719  0.865  1.013   1.307 1.000  4000
mu.photo[11]        -0.680   0.267 -1.199 -0.853 -0.681 -0.501  -0.157 1.000  4000
mu.photo[12]        -0.882   0.228 -1.326 -1.032 -0.881 -0.735  -0.428 1.001  4000
mu.photo[13]         1.508   0.239  1.025  1.353  1.512  1.667   1.968 1.001  4000
mu.photo[14]         0.908   0.200  0.501  0.779  0.909  1.041   1.295 1.001  4000
mu.photo[15]        -0.932   0.240 -1.420 -1.087 -0.934 -0.775  -0.463 1.000  4000
mu.photo[16]        -2.318   0.334 -2.966 -2.536 -2.315 -2.099  -1.642 1.000  4000
mu.photo[17]         0.599   0.255  0.103  0.431  0.600  0.760   1.111 1.000  4000
mu.photo[18]         1.304   0.226  0.853  1.161  1.306  1.451   1.743 1.000  4000
mu.photo[19]         0.091   0.291 -0.491 -0.092  0.090  0.281   0.669 1.001  2900
mu.photo[20]        -0.503   0.237 -0.981 -0.653 -0.505 -0.346  -0.027 1.002  2500
mu.photo[21]        -0.157   0.127 -0.397 -0.242 -0.155 -0.072   0.091 1.001  4000
mu.photo[22]        -0.109   0.170 -0.443 -0.221 -0.108  0.005   0.218 1.001  4000
mu.photo[23]        -0.598   0.234 -1.050 -0.751 -0.601 -0.448  -0.137 1.001  4000
mu.photo[24]        -0.533   0.226 -0.978 -0.684 -0.533 -0.388  -0.084 1.001  3700
mu.photo[25]        -0.451   0.175 -0.795 -0.569 -0.451 -0.341  -0.112 1.000  4000
mu.photo[26]        -1.203   0.249 -1.694 -1.361 -1.207 -1.039  -0.707 1.001  4000
rho.lf[1,1]          1.000   0.000  1.000  1.000  1.000  1.000   1.000 1.000     1
