Path analysis results at De Hoop 

Inference for Bugs model at "physiology-path-analysis.txt", fit using jags,
 5 chains, each with 25000 iterations (first 5000 discarded), n.thin = 25
 n.sims = 4000 iterations saved
                   mu.vect sd.vect   2.5%    25%    50%    75%  97.5%  Rhat n.eff
mu.ph[7,2]           1.352   0.374  0.568  1.113  1.364  1.596  2.052 1.001  3300
mu.ph[8,2]           1.214   0.368  0.450  0.980  1.218  1.458  1.923 1.001  4000
mu.ph[9,2]           0.425   0.363 -0.312  0.192  0.432  0.667  1.137 1.001  3300
mu.ph[10,2]          0.238   0.407 -0.584 -0.026  0.249  0.507  1.029 1.002  2400
mu.ph[11,2]          1.944   0.559  0.812  1.579  1.954  2.318  3.067 1.000  4000
mu.ph[12,2]          1.028   0.560 -0.103  0.662  1.030  1.393  2.151 1.001  4000
mu.ph[13,2]          1.066   0.536  0.010  0.716  1.061  1.408  2.124 1.001  4000
mu.ph[14,2]          0.205   0.434 -0.658 -0.078  0.213  0.489  1.077 1.000  4000
mu.ph[15,2]         -0.476   0.512 -1.462 -0.802 -0.482 -0.157  0.597 1.001  4000
mu.ph[16,2]         -1.177   0.502 -2.184 -1.506 -1.182 -0.862 -0.152 1.001  3700
mu.ph[17,2]         -1.323   0.507 -2.315 -1.650 -1.335 -0.996 -0.291 1.001  4000
mu.ph[18,2]         -1.779   0.504 -2.756 -2.108 -1.783 -1.451 -0.778 1.001  4000
mu.ph[19,2]         -0.364   0.552 -1.464 -0.723 -0.355  0.000  0.696 1.000  4000
mu.ph[20,2]         -1.289   0.513 -2.326 -1.617 -1.287 -0.947 -0.299 1.001  3500
mu.ph[21,2]          0.453   0.444 -0.440  0.163  0.460  0.745  1.325 1.000  4000
mu.ph[22,2]          1.270   0.477  0.327  0.959  1.271  1.578  2.223 1.001  4000
mu.ph[23,2]         -0.946   0.512 -1.960 -1.285 -0.952 -0.615  0.087 1.001  4000
mu.ph[24,2]         -0.019   0.507 -1.001 -0.363 -0.020  0.310  0.985 1.001  4000
mu.ph[25,2]          0.024   0.449 -0.837 -0.274  0.020  0.318  0.906 1.002  1600
mu.ph[26,2]         -0.474   0.456 -1.345 -0.785 -0.486 -0.177  0.446 1.001  3800
mu.ph[1,3]           0.714   0.364  0.009  0.480  0.704  0.950  1.452 1.001  4000
mu.ph[2,3]           0.383   0.391 -0.414  0.134  0.383  0.634  1.149 1.001  4000
mu.ph[3,3]           0.479   0.313 -0.159  0.276  0.487  0.682  1.080 1.001  4000
mu.ph[4,3]           0.638   0.305  0.032  0.442  0.644  0.835  1.242 1.001  3200
mu.ph[5,3]          -0.328   0.345 -1.008 -0.559 -0.332 -0.104  0.366 1.001  4000
mu.ph[6,3]          -0.391   0.334 -1.026 -0.616 -0.390 -0.172  0.274 1.001  4000
mu.ph[7,3]          -0.398   0.247 -0.892 -0.560 -0.396 -0.231  0.079 1.003  1200
mu.ph[8,3]          -0.061   0.251 -0.559 -0.224 -0.055  0.102  0.424 1.002  1800
mu.ph[9,3]          -0.299   0.245 -0.768 -0.461 -0.295 -0.133  0.183 1.002  2000
mu.ph[10,3]         -0.727   0.265 -1.249 -0.900 -0.721 -0.554 -0.199 1.002  1700
mu.ph[11,3]         -0.268   0.369 -0.988 -0.509 -0.263 -0.035  0.465 1.001  4000
mu.ph[12,3]         -0.502   0.391 -1.314 -0.748 -0.500 -0.250  0.248 1.002  1800
mu.ph[13,3]          0.793   0.359  0.080  0.561  0.791  1.027  1.523 1.001  4000
mu.ph[14,3]         -0.241   0.292 -0.831 -0.430 -0.243 -0.045  0.346 1.000  4000
mu.ph[15,3]         -0.005   0.341 -0.668 -0.227 -0.015  0.215  0.683 1.002  2000
mu.ph[16,3]         -1.028   0.327 -1.684 -1.241 -1.031 -0.826 -0.365 1.001  4000
mu.ph[17,3]         -0.828   0.343 -1.479 -1.053 -0.834 -0.608 -0.134 1.001  2800
mu.ph[18,3]         -0.943   0.327 -1.580 -1.156 -0.944 -0.730 -0.305 1.002  2400
mu.ph[19,3]          0.978   0.374  0.249  0.737  0.979  1.226  1.706 1.001  3000
mu.ph[20,3]         -0.673   0.352 -1.357 -0.911 -0.675 -0.442  0.016 1.002  1900
mu.ph[21,3]          0.255   0.311 -0.356  0.044  0.260  0.461  0.848 1.001  3800
mu.ph[22,3]          0.177   0.325 -0.477 -0.037  0.184  0.397  0.813 1.001  4000
mu.ph[23,3]         -0.475   0.344 -1.172 -0.696 -0.469 -0.257  0.207 1.000  4000
mu.ph[24,3]          0.497   0.334 -0.146  0.272  0.489  0.715  1.171 1.001  4000
mu.ph[25,3]         -0.834   0.329 -1.455 -1.047 -0.841 -0.622 -0.176 1.001  4000
mu.ph[26,3]         -1.529   0.317 -2.122 -1.745 -1.538 -1.328 -0.884 1.001  4000
mu.photo[1]         -0.434   0.233 -0.895 -0.580 -0.430 -0.289  0.028 1.001  4000
mu.photo[2]         -0.903   0.216 -1.325 -1.044 -0.905 -0.764 -0.481 1.001  4000
mu.photo[3]          1.412   0.194  1.025  1.284  1.412  1.540  1.806 1.001  4000
mu.photo[4]          1.713   0.237  1.241  1.559  1.715  1.864  2.180 1.001  4000
mu.photo[5]          0.483   0.217  0.067  0.337  0.483  0.628  0.913 1.001  3100
mu.photo[6]          0.329   0.218 -0.097  0.187  0.327  0.470  0.760 1.001  4000
mu.photo[7]          0.411   0.247 -0.083  0.248  0.409  0.573  0.897 1.001  4000
mu.photo[8]          0.669   0.213  0.254  0.530  0.669  0.809  1.089 1.002  2400
mu.photo[9]          1.164   0.249  0.685  1.000  1.163  1.326  1.665 1.002  2300
mu.photo[10]         0.800   0.288  0.226  0.611  0.798  0.985  1.374 1.002  2200
mu.photo[11]        -0.637   0.284 -1.187 -0.828 -0.635 -0.452 -0.088 1.001  4000
mu.photo[12]        -0.908   0.238 -1.378 -1.060 -0.907 -0.754 -0.448 1.002  2300
mu.photo[13]         1.158   0.216  0.748  1.012  1.158  1.297  1.577 1.001  3000
mu.photo[14]         0.860   0.214  0.447  0.716  0.858  1.000  1.292 1.002  2800
mu.photo[15]        -0.603   0.218 -1.027 -0.747 -0.609 -0.458 -0.169 1.001  4000
mu.photo[16]        -2.212   0.353 -2.905 -2.443 -2.213 -1.978 -1.512 1.000  4000
mu.photo[17]         0.633   0.275  0.103  0.455  0.630  0.810  1.179 1.001  3500
mu.photo[18]         1.426   0.254  0.927  1.263  1.424  1.587  1.940 1.001  4000
mu.photo[19]         0.075   0.322 -0.568 -0.134  0.068  0.289  0.728 1.001  3400
mu.photo[20]        -0.703   0.245 -1.179 -0.862 -0.701 -0.541 -0.225 1.001  4000
mu.photo[21]         0.139   0.136 -0.124  0.048  0.137  0.229  0.410 1.001  3600
mu.photo[22]         0.282   0.142  0.011  0.189  0.281  0.374  0.567 1.001  4000
mu.photo[23]        -0.622   0.253 -1.131 -0.791 -0.621 -0.459 -0.125 1.002  2300
mu.photo[24]        -0.423   0.238 -0.887 -0.578 -0.424 -0.264  0.043 1.001  2900
mu.photo[25]        -0.338   0.169 -0.668 -0.447 -0.338 -0.228 -0.009 1.001  4000
mu.photo[26]        -1.390   0.283 -1.953 -1.574 -1.390 -1.205 -0.846 1.001  4000
rho.lf[1,1]          1.000   0.000  1.000  1.000  1.000  1.000  1.000 1.000     1
rho.lf[2,1]         -0.090   0.184 -0.436 -0.218 -0.094  0.035  0.278 1.001  4000
rho.lf[3,1]         -0.413   0.154 -0.688 -0.525 -0.423 -0.311 -0.085 1.001  4000
rho.lf[4,1]          0.237   0.174 -0.124  0.124  0.247  0.363  0.549 1.001  4000
rho.lf[5,1]          0.246   0.176 -0.110  0.131  0.257  0.371  0.568 1.001  4000
rho.lf[1,2]         -0.090   0.184 -0.436 -0.218 -0.094  0.035  0.278 1.001  4000
rho.lf[2,2]          1.000   0.000  1.000  1.000  1.000  1.000  1.000 1.000     1
rho.lf[3,2]          0.049   0.187 -0.319 -0.080  0.050  0.182  0.408 1.001  4000
rho.lf[4,2]         -0.056   0.185 -0.401 -0.190 -0.059  0.068  0.319 1.001  4000
rho.lf[5,2]          0.212   0.179 -0.148  0.096  0.217  0.341  0.536 1.001  4000
rho.lf[1,3]         -0.413   0.154 -0.688 -0.525 -0.423 -0.311 -0.085 1.001  4000
rho.lf[2,3]          0.049   0.187 -0.319 -0.080  0.050  0.182  0.408 1.001  4000
rho.lf[3,3]          1.000   0.000  1.000  1.000  1.000  1.000  1.000 1.000     1
rho.lf[4,3]         -0.110   0.183 -0.451 -0.241 -0.114  0.013  0.255 1.000  4000
rho.lf[5,3]         -0.170   0.182 -0.506 -0.296 -0.175 -0.046  0.201 1.001  4000
rho.lf[1,4]          0.237   0.174 -0.124  0.124  0.247  0.363  0.549 1.001  4000
rho.lf[2,4]         -0.056   0.185 -0.401 -0.190 -0.059  0.068  0.319 1.001  4000
rho.lf[3,4]         -0.110   0.183 -0.451 -0.241 -0.114  0.013  0.255 1.000  4000
rho.lf[4,4]          1.000   0.000  1.000  1.000  1.000  1.000  1.000 1.000     1
rho.lf[5,4]          0.402   0.159  0.052  0.304  0.418  0.515  0.674 1.001  4000
rho.lf[1,5]          0.246   0.176 -0.110  0.131  0.257  0.371  0.568 1.001  4000
rho.lf[2,5]          0.212   0.179 -0.148  0.096  0.217  0.341  0.536 1.001  4000
rho.lf[3,5]         -0.170   0.182 -0.506 -0.296 -0.175 -0.046  0.201 1.001  4000
rho.lf[4,5]          0.402   0.159  0.052  0.304  0.418  0.515  0.674 1.001  4000
rho.lf[5,5]          1.000   0.000  1.000  1.000  1.000  1.000  1.000 1.000     1
rho.ph[1,1]          1.000   0.000  1.000  1.000  1.000  1.000  1.000 1.000     1
rho.ph[2,1]          0.240   0.246 -0.267  0.075  0.260  0.420  0.675 1.002  2200
rho.ph[3,1]          0.054   0.263 -0.457 -0.133  0.057  0.248  0.550 1.001  4000
rho.ph[1,2]          0.240   0.246 -0.267  0.075  0.260  0.420  0.675 1.002  2200
rho.ph[2,2]          1.000   0.000  1.000  1.000  1.000  1.000  1.000 1.000     1
rho.ph[3,2]          0.363   0.220 -0.115  0.222  0.383  0.526  0.732 1.000  4000
rho.ph[1,3]          0.054   0.263 -0.457 -0.133  0.057  0.248  0.550 1.001  4000
rho.ph[2,3]          0.363   0.220 -0.115  0.222  0.383  0.526  0.732 1.000  4000
